time,node_id,x,y,z
1,20,84.0582,76.0143,0
1,21,32.8987,76.6078,0
1,22,93.0724,93.7205,0
1,23,77.9161,75.2582,0
1,24,75.7994,59.9061,0
1,25,59.9164,37.1534,0
1,26,11.322,55.2199,0
1,27,33.9641,91.8059,0
1,28,86.1995,68.7596,0
1,29,38.7062,89.2296,0
2,20,83.06,76.074,0
2,21,33.1218,77.5826,0
2,22,92.8572,94.6971,0
2,23,78.1717,76.2249,0
2,24,76.762,59.6354,0
2,25,60.2269,36.2029,0
2,26,12.2021,55.6947,0
2,27,33.5572,90.8925,0
2,28,86.6989,67.8932,0
2,29,38.9687,88.2646,0
3,20,83.7529,76.795,0
3,21,33.7791,78.3362,0
3,22,92.9261,93.6995,0
3,23,78.9318,75.5751,0
3,24,76.2139,60.4718,0
3,25,59.7104,37.0591,0
3,26,12.9864,56.3151,0
3,27,34.1778,91.6766,0
3,28,86.4427,66.9266,0
3,29,38.611,89.1984,0
4,20,84.4459,77.516,0
4,21,34.4364,79.0898,0
4,22,92.995,92.7018,0
4,23,79.6919,74.9252,0
4,24,75.6657,61.3081,0
4,25,59.1939,37.9154,0
4,26,13.7706,56.9356,0
4,27,34.7984,92.4607,0
4,28,86.1866,65.9599,0
4,29,38.2532,90.1323,0
5,20,83.8993,76.6785,0
5,21,34.8202,78.1664,0
5,22,93.3285,91.7591,0
5,23,79.7188,73.9256,0
5,24,74.6861,61.1073,0
5,25,58.2019,38.0413,0
5,26,12.8753,57.381,0
5,27,34.8518,93.4593,0
5,28,85.2523,65.6033,0
5,29,38.6188,89.2015,0
6,20,83.3527,75.8411,0
6,21,35.204,77.243,0
6,22,93.6621,90.8164,0
6,23,79.7457,72.9259,0
6,24,73.7065,60.9064,0
6,25,57.2098,38.1672,0
6,26,11.98,57.8265,0
6,27,34.9051,94.4578,0
6,28,84.3181,65.2467,0
6,29,38.9845,88.2707,0
7,20,83.9386,76.6515,0
7,21,35.3478,76.2534,0
7,22,94.2392,89.9997,0
7,23,80.0251,71.9658,0
7,24,73.1373,61.7286,0
7,25,57.6713,39.0544,0
7,26,12.6018,58.6097,0
7,27,34.2765,95.2356,0
7,28,83.5143,64.6517,0
7,29,38.4327,87.4367,0
8,20,84.5245,77.4619,0
8,21,35.4916,75.2638,0
8,22,94.8162,89.183,0
8,23,80.3044,71.0056,0
8,24,72.568,62.5508,0
8,25,58.1327,39.9415,0
8,26,13.2236,59.3928,0
8,27,33.6479,96.0134,0
8,28,82.7106,64.0567,0
8,29,37.881,86.6027,0
9,20,83.6994,76.897,0
9,21,36.2366,74.5967,0
9,22,94.9602,90.1726,0
9,23,79.817,71.8788,0
9,24,72.7848,63.527,0
9,25,57.6674,39.0564,0
9,26,12.2988,59.7733,0
9,27,33.2382,96.9256,0
9,28,83.7065,64.1468,0
9,29,37.7107,87.588,0
10,20,82.8742,76.332,0
10,21,36.9815,73.9295,0
10,22,95.1042,91.1622,0
10,23,79.3297,72.7519,0
10,24,73.0016,64.5032,0
10,25,57.202,38.1713,0
10,26,11.374,60.1538,0
10,27,32.8285,97.8378,0
10,28,84.7025,64.2369,0
10,29,37.5404,88.5734,0
11,20,82.3746,75.4658,0
11,21,37.2924,72.9791,0
11,22,95.4534,92.0992,0
11,23,78.9731,73.6862,0
11,24,73.9412,64.8453,0
11,25,57.0329,37.1857,0
11,26,12.3687,60.0512,0
11,27,33.7151,98.3004,0
11,28,85.468,63.5935,0
11,29,37.3174,87.5986,0
12,20,81.8749,74.5996,0
12,21,37.6033,72.0286,0
12,22,95.8027,93.0362,0
12,23,78.6165,74.6205,0
12,24,74.8809,65.1874,0
12,25,56.8639,36.2001,0
12,26,13.3635,59.9486,0
12,27,34.6016,98.763,0
12,28,86.2336,62.9502,0
12,29,37.0944,86.6238,0
13,20,81.644,75.5726,0
13,21,37.721,71.0356,0
13,22,96.3837,93.8501,0
13,23,78.8221,75.5991,0
13,24,75.2957,66.0973,0
13,25,57.5111,36.9623,0
13,26,13.1907,58.9637,0
13,27,34.5137,99.7591,0
13,28,87.2136,62.7512,0
13,29,36.4774,85.8368,0
14,20,81.4131,76.5456,0
14,21,37.8387,70.0425,0
14,22,96.9648,94.664,0
14,23,79.0278,76.5777,0
14,24,75.7104,67.0072,0
14,25,58.1584,37.7246,0
14,26,13.018,57.9787,0
14,27,34.4258,99.2448,0
14,28,88.1936,62.5522,0
14,29,35.8604,85.0498,0
15,20,80.4143,76.5946,0
15,21,37.0445,69.4349,0
15,22,97.7279,95.3103,0
15,23,79.6501,75.7949,0
