node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,2.65796,0.67575,0.292153,0
1,2.65796,0.67575,0.292153,0
2,2.65796,0.67575,0.292153,0
3,2.65796,0.67575,0.292153,0
4,2.65796,0.67575,0.292153,0
5,2.65796,0.67575,0.292153,0
6,2.65796,0.67575,0.292153,0
7,2.65796,0.67575,0.292153,0
8,2.65796,0.67575,0.292153,0
9,2.65796,0.67575,0.292153,0
10,2.65796,0.67575,0.292153,0
11,2.65796,0.67575,0.292153,0
12,2.65796,0.67575,0.292153,0
13,2.65796,0.67575,0.292153,0
14,2.65796,0.67575,0.292153,0
15,2.65796,0.67575,0.292153,0
16,2.65796,0.67575,0.292153,0
17,2.65796,0.67575,0.292153,0
18,2.65796,0.67575,0.292153,0
19,2.65796,0.67575,0.292153,0
20,2.65796,0.67575,0.292153,0
21,2.65796,0.67575,0.292153,0
22,2.65796,0.67575,0.292153,0
23,2.65796,0.67575,0.292153,0
24,2.65796,0.67575,0.292153,0
25,2.65796,0.67575,0.292153,0
26,2.65796,0.67575,0.292153,0
27,2.65796,0.67575,0.292153,0
28,2.65796,0.67575,0.292153,0
29,2.65796,0.67575,0.292153,0
30,2.65796,0.67575,0.292153,0
31,2.65796,0.67575,0.292153,0
32,2.65796,0.67575,0.292153,0
