node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,45.1636,0.281738,0.230384,0
1,45.1636,0.281738,0.230384,0
2,45.1636,0.281738,0.230384,0
3,45.1636,0.281738,0.230384,0
4,45.1636,0.281738,0.230384,0
5,45.1636,0.281738,0.230384,0
6,45.1636,0.281738,0.230384,0
7,45.1636,0.281738,0.230384,0
8,45.1636,0.281738,0.230384,0
9,45.1636,0.281738,0.230384,0
10,45.1636,0.281738,0.230384,0
11,45.1636,0.281738,0.230384,0
12,45.1636,0.281738,0.230384,0
13,45.1636,0.281738,0.230384,0
14,45.1636,0.281738,0.230384,0
15,45.1636,0.281738,0.230384,0
16,45.1636,0.281738,0.230384,0
17,45.1636,0.281738,0.230384,0
18,45.1636,0.281738,0.230384,0
19,45.1636,0.281738,0.230384,0
20,45.1636,0.281738,0.230384,0
21,45.1636,0.281738,0.230384,0
22,45.1636,0.281738,0.230384,0
23,45.1636,0.281738,0.230384,0
24,45.1636,0.281738,0.230384,0
25,45.1636,0.281738,0.230384,0
26,45.1636,0.281738,0.230384,0
27,45.1636,0.281738,0.230384,0
28,45.1636,0.281738,0.230384,0
29,45.1636,0.281738,0.230384,0
30,45.1636,0.281738,0.230384,0
31,45.1636,0.281738,0.230384,0
32,45.1636,0.281738,0.230384,0
