time,node_id,x,y,z
1,20,59.4989,22.8521,0
1,21,86.3369,21.3576,0
1,22,44.4948,93.6652,0
1,23,20.8467,67.4196,0
1,24,22.0532,81.7645,0
1,25,80.3887,71.8457,0
1,26,8.86073,81.4053,0
1,27,42.2373,57.7593,0
1,28,23.1949,80.0501,0
1,29,31.3504,14.1464,0
2,20,58.5217,23.0644,0
2,21,86.6226,20.3993,0
2,22,45.3993,93.2387,0
2,23,20.8324,68.4195,0
2,24,21.1938,81.2531,0
2,25,79.7758,71.0555,0
2,26,7.90552,81.1093,0
2,27,41.4715,57.1163,0
2,28,23.7269,80.8968,0
2,29,31.6808,15.0903,0
3,20,59.2076,22.3368,0
3,21,87.0946,21.2808,0
3,22,44.4001,93.2791,0
3,23,21.3559,67.5674,0
3,24,20.6331,82.0812,0
3,25,78.8916,71.5226,0
3,26,8.18347,82.0699,0
3,27,41.4015,56.1188,0
3,28,23.4164,79.9463,0
3,29,32.1596,15.9682,0
4,20,59.8936,21.6092,0
4,21,87.5667,22.1624,0
4,22,43.4009,93.3195,0
4,23,21.8793,66.7154,0
4,24,20.0725,82.9092,0
4,25,78.0074,71.9897,0
4,26,8.46143,83.0305,0
4,27,41.3314,55.1212,0
4,28,23.1058,78.9957,0
4,29,32.6384,16.8461,0
5,20,60.279,22.5319,0
5,21,88.269,22.8742,0
5,22,43.6845,92.3606,0
5,23,22.8608,66.524,0
5,24,20.2639,81.9277,0
5,25,78.9716,72.2548,0
5,26,8.08304,82.1049,0
5,27,42.3177,55.2864,0
5,28,24.0635,78.708,0
5,29,32.8207,17.8293,0
6,20,60.6643,23.4547,0
6,21,88.9714,23.5861,0
6,22,43.9681,91.4017,0
6,23,23.8423,66.3326,0
6,24,20.4554,80.9462,0
6,25,79.9358,72.52,0
6,26,7.70465,81.1792,0
6,27,43.304,55.4517,0
6,28,25.0212,78.4202,0
6,29,33.0029,18.8126,0
7,20,61.5627,23.0156,0
7,21,89.4913,24.4403,0
7,22,44.6029,92.1744,0
7,23,23.5496,65.3764,0
7,24,20.1791,79.9852,0
7,25,80.5742,71.7503,0
7,26,7.80865,80.1847,0
7,27,43.7024,54.5345,0
7,28,25.7053,79.1496,0
7,29,32.1411,18.3054,0
8,20,62.4612,22.5765,0
8,21,90.0111,25.2946,0
