time,node_id,x,y,z
1,20,50.4033,75.3462,0
1,21,75.9943,16.6781,0
1,22,64.0396,35.3399,0
1,23,19.4938,28.7915,0
1,24,46.7148,23.5911,0
1,25,51.8338,48.8867,0
1,26,25.4541,48.5866,0
1,27,80.6423,54.0246,0
1,28,9.54679,0.944968,0
1,29,36.4158,52.9157,0
2,20,51.3443,75.6844,0
2,21,75.4915,15.8137,0
2,22,63.2761,34.694,0
2,23,20.4129,28.3975,0
2,24,47.7139,23.5487,0
2,25,52.234,49.8032,0
2,26,26.3592,49.0118,0
2,27,81.5902,53.706,0
2,28,8.54685,0.956168,0
2,29,36.5092,51.92,0
3,20,50.6413,74.9733,0
3,21,74.5996,15.3615,0
3,22,63.2385,35.6933,0
3,23,19.4728,28.7384,0
3,24,48.022,24.5,0
3,25,51.2343,49.7787,0
3,26,27.3579,48.9606,0
3,27,81.5408,52.7072,0
3,28,7.62499,0.568639,0
3,29,36.185,50.974,0
4,20,49.9383,74.2621,0
4,21,73.7077,14.9093,0
4,22,63.2008,36.6926,0
4,23,18.5327,29.0793,0
4,24,48.3301,25.4514,0
4,25,50.2346,49.7543,0
4,26,28.3566,48.9094,0
4,27,81.4914,51.7085,0
4,28,6.70314,0.18111,0
4,29,35.8609,50.028,0
5,20,49.4361,73.3973,0
5,21,74.5249,14.3329,0
5,22,62.659,35.852,0
5,23,19.3363,29.6744,0
5,24,49.3102,25.6496,0
5,25,51.1297,49.3083,0
5,26,27.7267,49.6861,0
5,27,81.9169,52.6134,0
5,28,7.51359,0.766916,0
5,29,36.0742,49.0511,0
6,20,48.934,72.5325,0
6,21,75.342,13.7565,0
6,22,62.1173,35.0115,0
6,23,20.14,30.2695,0
6,24,50.2904,25.8478,0
6,25,52.0247,48.8623,0
6,26,27.0969,50.4628,0
6,27,82.3423,53.5184,0
6,28,8.32404,1.35272,0
6,29,36.2876,48.0741,0
7,20,49.2491,71.5835,0
7,21,76.3274,13.9269,0
7,22,63.0261,34.5944,0
7,23,21.0821,30.6047,0
7,24,51.0087,25.152,0
7,25,51.4654,48.0333,0
7,26,27.8783,49.8388,0
7,27,82.6331,54.4752,0
7,28,7.87617,2.24682,0
7,29,37.2056,48.4706,0
8,20,49.5642,70.6344,0
8,21,77.3128,14.0974,0
8,22,63.935,34.1773,0
8,23,22.0243,30.9399,0
8,24,51.727,24.4563,0
8,25,50.906,47.2044,0
8,26,28.6596,49.2147,0
8,27,82.9238,55.432,0
8,28,7.4283,3.14092,0
8,29,38.1236,48.8672,0
9,20,49.1554,71.5471,0
9,21,77.5603,15.0663,0
9,22,62.9353,34.151,0
9,23,23.0179,30.8273,0
9,24,51.778,23.4576,0
9,25,49.9382,46.953,0
9,26,28.6161,50.2138,0
9,27,83.2229,54.4778,0
9,28,8.40344,2.91935,0
9,29,38.8484,49.5561,0
10,20,48.7467,72.4597,0
10,21,77.8077,16.0352,0
10,22,61.9357,34.1247,0
10,23,24.0116,30.7146,0
10,24,51.8289,22.4589,0
10,25,48.9703,46.7016,0
10,26,28.5725,51.2128,0
10,27,83.522,53.5235,0
10,28,9.37859,2.69779,0
10,29,39.5733,50.245,0
11,20,48.1723,73.2783,0
11,21,77.6327,15.0506,0
11,22,60.9984,34.4732,0
11,23,24.9459,30.3583,0
11,24,52.4586,23.2357,0
11,25,49.7946,46.1355,0
11,26,27.5759,51.1307,0
11,27,83.7733,54.4914,0
11,28,8.49293,2.23345,0
11,29,40.4019,49.6852,0
12,20,47.5979,74.0969,0
12,21,77.4577,14.066,0
12,22,60.061,34.8217,0
12,23,25.8803,30.002,0
12,24,53.0883,24.0126,0
12,25,50.619,45.5694,0
12,26,26.5793,51.0486,0
12,27,84.0247,55.4593,0
12,28,7.60727,1.76911,0
12,29,41.2306,49.1254,0
13,20,47.5935,75.0969,0
13,21,78.4213,14.3332,0
13,22,61.048,34.9827,0
13,23,26.628,30.666,0
13,24,52.128,24.2914,0
13,25,50.5915,44.5698,0
13,26,26.6031,50.0489,0
13,27,83.073,55.7663,0
13,28,6.94778,1.0174,0
13,29,41.729,49.9923,0
14,20,47.5892,76.0969,0
14,21,79.385,14.6003,0
14,22,62.0349,35.1438,0
14,23,27.3758,31.3299,0
14,24,51.1677,24.5703,0
14,25,50.564,43.5702,0
14,26,26.6269,49.0491,0
14,27,82.1212,56.0732,0
14,28,6.2883,0.265683,0
14,29,42.2275,50.8592,0
15,20,47.4635,75.1048,0
15,21,79.3881,15.6003,0
15,22,62.5725,34.3007,0
15,23,27.2178,30.3425,0
15,24,50.6777,25.442,0
15,25,51.3179,44.2272,0
15,26,27.5186,49.5018,0
15,27,81.25,56.564,0
15,28,7.11484,0.297191,0
15,29,43.1332,51.2832,0
16,20,47.3377,74.1127,0
16,21,79.3912,16.6003,0
16,22,63.1102,33.4575,0
16,23,27.0597,29.3551,0
16,24,50.1878,26.3138,0
16,25,52.0717,44.8842,0
16,26,28.4103,49.9544,0
16,27,80.3787,57.0548,0
16,28,7.94138,0.860065,0
16,29,44.0389,51.7071,0
17,20,46.4079,73.7449,0
17,21,80.1313,17.2728,0
17,22,62.7092,34.3736,0
17,23,27.6284,30.1776,0
17,24,49.8175,25.3849,0
17,25,52.9755,45.3122,0
17,26,29.2043,50.5622,0
17,27,80.2358,58.0445,0
17,28,8.66917,1.54587,0
17,29,45.015,51.9245,0
18,20,45.478,73.377,0
18,21,80.8714,17.9453,0
18,22,62.3082,35.2897,0
18,23,28.1971,31.0001,0
18,24,49.4472,24.456,0
18,25,53.8793,45.7402,0
18,26,29.9984,51.1701,0
18,27,80.0928,59.0342,0
18,28,9.39695,2.23168,0
18,29,45.991,52.142,0
19,20,44.4816,73.2913,0
19,21,80.6769,18.9262,0
19,22,62.8476,36.1317,0
19,23,27.633,31.8258,0
19,24,49.922,25.3361,0
19,25,54.0401,44.7533,0
19,26,30.9494,51.4792,0
19,27,79.1099,59.2185,0
19,28,9.86622,3.11473,0
19,29,46.9909,52.1607,0
20,20,43.4853,73.2056,0
20,21,80.4824,19.9071,0
20,22,63.3869,36.9738,0
20,23,27.0689,32.6515,0
20,24,50.3967,26.2162,0
20,25,54.2009,43.7663,0
20,26,31.9004,51.7884,0
20,27,78.1271,59.4027,0
20,28,10.3355,3.99779,0
20,29,47.9907,52.1794,0
21,20,42.5845,72.7714,0
21,21,81.2403,19.2547,0
21,22,63.37,37.9737,0
21,23,26.1582,32.2384,0
21,24,50.7915,25.2975,0
21,25,55.1985,43.6971,0
21,26,32.8192,52.183,0
21,27,77.1423,59.5763,0
21,28,11.2649,3.62882,0
21,29,48.8182,52.7408,0
22,20,41.6837,72.3372,0
22,21,81.9982,18.6023,0
22,22,63.353,38.9735,0
22,23,25.2475,31.8253,0
22,24,51.1864,24.3787,0
22,25,56.1961,43.628,0
22,26,33.7381,52.5776,0
22,27,76.1574,59.7499,0
22,28,12.1944,3.25985,0
22,29,49.6458,53.3022,0
23,20,41.8239,73.3273,0
23,21,82.9532,18.8988,0
23,22,64.1325,38.347,0
23,23,25.971,31.1351,0
23,24,52.1409,24.6768,0
23,25,55.4447,44.2878,0
23,26,33.5598,51.5936,0
23,27,75.8771,60.7098,0
23,28,11.6615,4.10602,0
23,29,48.7767,52.8074,0
24,20,41.964,74.3174,0
24,21,83.9082,19.1954,0
24,22,64.9119,37.7205,0
24,23,26.6946,30.4449,0
24,24,53.0954,24.975,0
24,25,54.6933,44.9477,0
24,26,33.3815,50.6097,0
24,27,75.5968,61.6698,0
24,28,11.1285,4.95219,0
24,29,47.9077,52.3127,0
25,20,41.1964,74.9583,0
25,21,83.8878,20.1952,0
25,22,64.0482,37.2165,0
25,23,25.7202,30.2203,0
25,24,52.1512,24.6458,0
25,25,55.3402,44.1851,0
25,26,32.8129,51.4323,0
25,27,75.9757,62.5952,0
25,28,10.8011,5.89706,0
25,29,48.6021,51.5931,0
26,20,40.4287,75.5992,0
26,21,83.8673,21.195,0
26,22,63.1844,36.7126,0
26,23,24.7457,29.9958,0
26,24,51.2069,24.3165,0
26,25,55.9871,43.4225,0
26,26,32.2443,52.2549,0
26,27,76.3546,63.5206,0
26,28,10.4737,6.84194,0
26,29,49.2965,50.8735,0
27,20,39.4367,75.4731,0
27,21,84.1445,20.2342,0
27,22,62.4712,37.4135,0
27,23,24.6951,28.9971,0
27,24,50.4148,24.9269,0
27,25,55.8505,44.4132,0
27,26,32.302,51.2566,0
27,27,77.2307,64.0028,0
27,28,10.5988,7.83408,0
27,29,48.6568,50.1049,0
28,20,38.4447,75.347,0
28,21,84.4218,19.2734,0
28,22,61.758,38.1145,0
28,23,24.6445,27.9984,0
28,24,49.6226,25.5372,0
28,25,55.7139,45.4038,0
28,26,32.3597,50.2582,0
28,27,78.1068,64.4849,0
28,28,10.7239,8.82623,0
28,29,48.017,49.3363,0
29,20,37.4454,75.3842,0
29,21,83.9726,20.1668,0
29,22,61.0009,38.7678,0
29,23,23.6531,28.1295,0
29,24,50.0646,24.6402,0
29,25,55.9119,44.4236,0
29,26,31.5899,50.8966,0
29,27,78.851,63.8169,0
29,28,11.5332,8.23894,0
29,29,47.6121,48.422,0
30,20,36.4461,75.4214,0
30,21,83.5234,21.0602,0
30,22,60.2438,39.421,0
30,23,22.6617,28.2606,0
30,24,50.5065,23.7431,0
30,25,56.1098,43.4434,0
30,26,30.8201,51.5349,0
30,27,79.5951,63.1488,0
30,28,12.3426,7.65165,0
30,29,47.2071,47.5076,0
31,20,35.9195,74.5713,0
31,21,84.511,20.9028,0
31,22,61.1939,39.109,0
31,23,22.9246,29.2254,0
31,24,50.9178,24.6546,0
31,25,55.159,43.1337,0
31,26,30.7802,50.5357,0
31,27,79.5846,64.1488,0
31,28,12.8817,6.80938,0
31,29,48.1499,47.8411,0
32,20,35.3929,73.7212,0
32,21,85.4985,20.7454,0
32,22,62.1439,38.797,0
32,23,23.1875,30.1903,0
32,24,51.3291,25.5661,0
32,25,54.2082,42.8239,0
32,26,30.7402,49.5365,0
32,27,79.5741,65.1487,0
32,28,13.4207,5.9671,0
32,29,49.0927,48.1745,0
33,20,35.8544,74.6083,0
33,21,86.427,21.1168,0
33,22,62.8784,38.1184,0
33,23,24.0648,29.7102,0
33,24,50.8939,26.4664,0
33,25,53.3007,42.4038,0
33,26,29.9007,48.9932,0
33,27,80.3431,65.788,0
33,28,12.4409,6.16712,0
33,29,49.9792,47.7118,0
34,20,36.3158,75.4955,0
34,21,87.3555,21.4881,0
34,22,63.613,37.4398,0
34,23,24.942,29.2302,0
34,24,50.4588,27.3668,0
34,25,52.3933,41.9836,0
34,26,29.0611,48.4499,0
34,27,81.1121,66.4272,0
34,28,11.4611,6.36715,0
34,29,50.8657,47.249,0
35,20,36.5891,76.4575,0
35,21,88.1545,22.0895,0
35,22,62.6839,37.0699,0
35,23,25.5195,28.4138,0
35,24,49.5894,27.861,0
35,25,51.4319,41.7084,0
35,26,29.492,49.3523,0
35,27,80.1685,66.0962,0
35,28,12.242,5.74243,0
35,29,49.9856,46.7742,0
36,20,36.8623,77.4194,0
36,21,88.9534,22.6908,0
36,22,61.7548,36.6999,0
36,23,26.097,27.5974,0
36,24,48.7201,28.3552,0
36,25,50.4705,41.4332,0
36,26,29.9229,50.2547,0
36,27,79.2248,65.7653,0
36,28,13.0228,5.11771,0
36,29,49.1055,46.2995,0
37,20,35.8894,77.6506,0
37,21,89.0516,23.686,0
37,22,60.7939,36.9768,0
37,23,26.7104,26.8077,0
37,24,49.1941,27.4747,0
37,25,50.0569,42.3437,0
37,26,29.7949,49.2629,0
37,27,78.364,66.2741,0
37,28,14.0057,4.9332,0
37,29,48.6537,47.1916,0
38,20,34.9165,77.8818,0
38,21,89.1498,24.6812,0
38,22,59.833,37.2536,0
38,23,27.3239,26.0179,0
38,24,49.6682,26.5942,0
38,25,49.6433,43.2541,0
38,26,29.6668,48.2712,0
38,27,77.5031,66.7829,0
38,28,14.9885,4.74868,0
38,29,48.2018,48.0837,0
39,20,34.2351,78.6138,0
39,21,88.3371,24.0985,0
39,22,60.6911,36.74,0
39,23,27.9182,25.2137,0
39,24,49.6063,27.5923,0
39,25,50.6321,43.1052,0
39,26,30.6521,48.4423,0
39,27,77.4509,65.7843,0
39,28,15.7745,5.36693,0
39,29,48.2609,47.0854,0
40,20,33.5538,79.3458,0
40,21,87.5244,23.5157,0
40,22,61.5491,36.2265,0
40,23,28.5126,24.4095,0
40,24,49.5444,28.5904,0
40,25,51.621,42.9563,0
40,26,31.6373,48.6135,0
40,27,77.3987,64.7856,0
40,28,16.5605,5.98517,0
40,29,48.32,46.0872,0
41,20,33.7341,80.3294,0
41,21,86.708,22.9382,0
41,22,62.4983,36.5412,0
41,23,27.5141,24.3551,0
41,24,50.215,29.3321,0
41,25,50.7683,43.4788,0
41,26,30.9052,47.9323,0
41,27,76.5207,65.2643,0
41,28,17.5599,6.01848,0
41,29,48.874,46.9197,0
42,20,33.9143,81.3131,0
42,21,85.8917,22.3607,0
42,22,63.4474,36.856,0
42,23,26.5155,24.3006,0
42,24,50.8857,30.0739,0
42,25,49.9157,44.0013,0
42,26,30.1731,47.2511,0
42,27,75.6427,65.7429,0
42,28,18.5593,6.05179,0
42,29,49.4279,47.7523,0
43,20,33.3625,80.4791,0
43,21,85.5156,23.2873,0
43,22,62.6582,36.242,0
43,23,26.8269,25.2509,0
43,24,51.5638,29.339,0
43,25,49.755,43.0143,0
43,26,29.4911,47.9825,0
43,27,76.1717,64.8943,0
43,28,17.8926,5.3065,0
43,29,50.4179,47.6113,0
44,20,32.8106,79.6452,0
44,21,85.1395,24.2139,0
44,22,61.8689,35.628,0
44,23,27.1383,26.2012,0
44,24,52.242,28.6041,0
44,25,49.5943,42.0273,0
44,26,28.8091,48.7138,0
44,27,76.7007,64.0456,0
44,28,17.2259,4.56121,0
44,29,51.4079,47.4702,0
45,20,32.4091,78.7293,0
45,21,84.9477,25.1953,0
45,22,62.6906,36.1978,0
45,23,27.1297,27.2011,0
45,24,53.1747,28.9647,0
45,25,48.5948,42.0608,0
45,26,28.5746,47.7417,0
45,27,75.9066,64.6535,0
45,28,17.7502,3.70971,0
45,29,50.4476,47.749,0
46,20,32.0076,77.8134,0
46,21,84.7558,26.1767,0
46,22,63.5123,36.7677,0
46,23,27.1211,28.2011,0
46,24,54.1074,29.3254,0
46,25,47.5954,42.0943,0
46,26,28.3401,46.7696,0
46,27,75.1125,65.2613,0
46,28,18.2746,2.85821,0
46,29,49.4872,48.0278,0
47,20,32.2524,76.8438,0
47,21,83.901,25.6579,0
47,22,63.0293,37.6434,0
47,23,26.1813,27.8594,0
47,24,53.308,29.9262,0
47,25,48.0965,42.9597,0
47,26,28.6197,45.8095,0
47,27,74.1132,65.2249,0
47,28,17.3984,2.37618,0
47,29,48.4872,48.0349,0
48,20,32.4971,75.8742,0
48,21,83.0461,25.139,0
48,22,62.5463,38.519,0
48,23,25.2415,27.5178,0
48,24,52.5086,30.527,0
48,25,48.5977,43.8251,0
48,26,28.8993,44.8494,0
48,27,73.1138,65.1886,0
48,28,16.5222,1.89415,0
48,29,47.4873,48.0419,0
49,20,32.0477,76.7676,0
49,21,82.6589,26.061,0
49,22,61.9332,39.309,0
49,23,26.0758,26.9665,0
49,24,53.4768,30.2768,0
49,25,49.5936,43.9154,0
49,26,29.7014,45.4466,0
49,27,72.1351,65.3938,0
49,28,16.8328,0.94358,0
49,29,46.5578,47.6729,0
50,20,31.5983,77.6609,0
50,21,82.2716,26.9829,0
50,22,61.3202,40.099,0
50,23,26.9102,26.4153,0
50,24,54.4449,30.0266,0
50,25,50.5895,44.0058,0
50,26,30.5035,46.0438,0
50,27,71.1564,65.5989,0
50,28,17.1433,0.00698618,0
50,29,45.6284,47.304,0
51,20,32.1621,78.4869,0
51,21,81.5138,27.6354,0
51,22,62.1465,40.6621,0
51,23,25.9139,26.5012,0
51,24,54.945,29.1606,0
51,25,49.5952,44.1129,0
51,26,29.913,45.2368,0
51,27,71.7904,66.3723,0
51,28,18.008,0.495294,0
51,29,46.2092,46.49,0
52,20,32.7258,79.3128,0
52,21,80.756,28.2879,0
52,22,62.9729,41.2253,0
52,23,24.9176,26.587,0
52,24,55.4451,28.2946,0
52,25,48.601,44.2201,0
52,26,29.3225,44.4297,0
52,27,72.4243,67.1457,0
52,28,18.8727,0.997574,0
52,29,46.79,45.676,0
53,20,31.7266,79.351,0
53,21,81.1484,29.2077,0
53,22,63.9717,41.1763,0
53,23,25.8575,26.9285,0
53,24,54.6833,28.9425,0
53,25,48.2546,45.1582,0
53,26,29.1253,43.4494,0
53,27,73.3454,66.7564,0
53,28,19.6093,0.321238,0
53,29,47.5585,46.3159,0
54,20,30.7273,79.3891,0
54,21,81.5407,30.1275,0
54,22,64.9705,41.1273,0
54,23,26.7974,27.2699,0
54,24,53.9215,29.5903,0
54,25,47.9082,46.0963,0
54,26,28.928,42.469,0
54,27,74.2666,66.3671,0
54,28,20.3459,0.355097,0
54,29,48.3269,46.9558,0
55,20,30.6726,80.3876,0
55,21,80.5781,29.8566,0
55,22,65.8274,41.6428,0
55,23,25.806,27.4006,0
55,24,54.834,29.9994,0
55,25,48.9048,46.1793,0
55,26,29.5038,43.2866,0
55,27,73.7732,65.4973,0
55,28,20.9252,1.17018,0
55,29,48.1327,47.9368,0
56,20,30.6179,81.3861,0
56,21,79.6155,29.5857,0
56,22,66.6843,42.1583,0
56,23,24.8145,27.5313,0
56,24,55.7464,30.4085,0
56,25,49.9013,46.2624,0
56,26,30.0796,44.1042,0
56,27,73.2798,64.6275,0
56,28,21.5046,1.98525,0
56,29,47.9385,48.9177,0
57,20,29.6414,81.1704,0
57,21,78.6602,29.8812,0
57,22,65.7059,42.365,0
57,23,25.2648,28.4242,0
57,24,54.803,30.7402,0
57,25,50.1265,47.2367,0
57,26,29.2217,44.6179,0
57,27,72.3142,64.8875,0
57,28,21.6566,0.996871,0
57,29,48.3812,48.021,0
58,20,28.665,80.9546,0
58,21,77.7048,30.1766,0
58,22,64.7275,42.5718,0
58,23,25.7151,29.3171,0
58,24,53.8596,31.0719,0
58,25,50.3517,48.211,0
58,26,28.3637,45.1315,0
58,27,71.3486,65.1476,0
58,28,21.8086,0.00848741,0
58,29,48.8238,47.1243,0
59,20,29.6613,81.0406,0
59,21,77.1346,29.3551,0
59,22,64.6623,43.5697,0
59,23,26.6531,29.6637,0
59,24,54.7147,31.5904,0
59,25,50.8778,47.3606,0
59,26,27.424,45.4735,0
59,27,71.9263,64.3313,0
59,28,21.6525,0.996237,0
59,29,49.7244,46.6896,0
