time,node_id,x,y,z
1,20,56.3472,56.5157,0
1,21,58.9082,55.7815,0
1,22,2.17614,90.2315,0
1,23,27.7764,52.6946,0
1,24,80.2388,35.6516,0
1,25,57.8012,25.6538,0
1,26,56.7135,73.3769,0
1,27,78.7278,60.7047,0
1,28,18.0545,39.639,0
1,29,98.961,57.2882,0
2,20,56.7492,55.6001,0
2,21,59.4134,56.6445,0
2,22,1.99748,91.2155,0
2,23,27.3356,53.5922,0
2,24,80.6514,36.5625,0
2,25,57.2248,26.4709,0
2,26,55.8112,72.9458,0
2,27,79.4475,61.399,0
2,28,18.4079,40.5745,0
2,29,98.2989,56.5387,0
3,20,57.6853,55.2483,0
3,21,60.0697,57.399,0
3,22,2.99732,91.2333,0
3,23,27.6132,54.5529,0
3,24,81.5994,36.8807,0
3,25,58.1347,26.056,0
3,26,54.9829,72.3856,0
3,27,79.8384,60.4785,0
3,28,18.9337,41.4251,0
3,29,99.2699,56.2998,0
4,20,58.6214,54.8965,0
4,21,60.726,58.1535,0
4,22,3.99716,91.2512,0
4,23,27.8909,55.5136,0
4,24,82.5474,37.1989,0
4,25,59.0446,25.6412,0
4,26,54.1545,71.8254,0
4,27,80.2292,59.5581,0
4,28,19.4596,42.2756,0
4,29,99.759,56.0608,0
5,20,58.8653,55.8663,0
5,21,60.2508,59.0333,0
5,22,3.70676,92.2081,0
5,23,26.9687,55.1267,0
5,24,81.8422,37.9079,0
5,25,58.2916,26.2992,0
5,26,55.043,71.3666,0
5,27,81.1964,59.3039,0
5,28,18.5869,41.7874,0
5,29,99.8451,57.0571,0
6,20,59.1092,56.8361,0
6,21,59.7755,59.9132,0
6,22,3.41635,93.165,0
6,23,26.0466,54.7399,0
6,24,81.137,38.6169,0
6,25,57.5386,26.9572,0
6,26,55.9316,70.9078,0
6,27,82.1635,59.0497,0
6,28,17.7142,41.2991,0
6,29,99.9312,58.0534,0
7,20,58.918,57.8176,0
7,21,60.7481,59.6808,0
7,22,2.77438,93.9318,0
7,23,25.7914,55.7068,0
7,24,81.3834,37.6477,0
7,25,58.5207,27.1455,0
7,26,56.7014,71.5459,0
7,27,83.1546,58.9162,0
7,28,18.5381,41.8658,0
7,29,98.9633,57.8022,0
8,20,58.7269,58.7992,0
8,21,61.7208,59.4483,0
8,22,2.13241,94.6985,0
8,23,25.5362,56.6737,0
8,24,81.6297,36.6786,0
8,25,59.5028,27.3338,0
8,26,57.4713,72.1841,0
8,27,84.1456,58.7828,0
8,28,19.362,42.4325,0
8,29,97.9953,57.5511,0
9,20,59.6617,59.1542,0
9,21,62.7185,59.3818,0
9,22,1.81801,93.7492,0
9,23,25.0553,55.7969,0
9,24,80.732,36.238,0
9,25,58.552,27.6436,0
9,26,58.3873,71.7829,0
9,27,84.9424,58.1785,0
9,28,20.3292,42.1785,0
9,29,98.9884,57.6688,0
10,20,60.5966,59.5093,0
10,21,63.7163,59.3153,0
10,22,1.50361,92.7999,0
10,23,24.5744,54.9201,0
10,24,79.8343,35.7973,0
10,25,57.6011,27.9533,0
10,26,59.3034,71.3818,0
10,27,85.7392,57.5743,0
10,28,21.2964,41.9245,0
10,29,99.9814,57.7865,0
11,20,59.974,58.7266,0
11,21,63.6085,58.3211,0
11,22,1.87071,91.8697,0
11,23,25.2475,54.1805,0
11,24,79.9625,36.7891,0
11,25,58.5999,28.0037,0
11,26,58.7361,70.5582,0
11,27,86.2169,58.4528,0
11,28,21.3362,40.9253,0
11,29,99.7674,58.7633,0
12,20,59.3515,57.944,0
12,21,63.5008,57.3269,0
12,22,2.2378,90.9395,0
12,23,25.9205,53.4409,0
12,24,80.0906,37.7809,0
12,25,59.5986,28.0541,0
12,26,58.1689,69.7346,0
12,27,86.6945,59.3314,0
12,28,21.3759,39.9261,0
12,29,99.5533,59.7401,0
13,20,58.7279,58.7257,0
13,21,63.1813,58.2745,0
13,22,3.06687,90.3804,0
13,23,26.0484,54.4327,0
13,24,80.3549,36.8164,0
13,25,59.4897,29.0482,0
13,26,58.7369,68.9116,0
13,27,85.6982,59.4173,0
