node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,825.737,1.74924,0.786866,0
1,825.737,1.74924,0.786866,0
2,825.737,1.74924,0.786866,0
3,825.737,1.74924,0.786866,0
4,825.737,1.74924,0.786866,0
5,825.737,1.74924,0.786866,0
6,825.737,1.74924,0.786866,0
7,825.737,1.74924,0.786866,0
8,825.737,1.74924,0.786866,0
9,825.737,1.74924,0.786866,0
10,825.737,1.74924,0.786866,0
11,825.737,1.74924,0.786866,0
12,825.737,1.74924,0.786866,0
13,825.737,1.74924,0.786866,0
14,825.737,1.74924,0.786866,0
15,825.737,1.74924,0.786866,0
16,825.737,1.74924,0.786866,0
17,825.737,1.74924,0.786866,0
18,825.737,1.74924,0.786866,0
19,825.737,1.74924,0.786866,0
20,825.737,1.74924,0.786866,0
21,825.737,1.74924,0.786866,0
22,825.737,1.74924,0.786866,0
23,825.737,1.74924,0.786866,0
24,825.737,1.74924,0.786866,0
25,825.737,1.74924,0.786866,0
26,825.737,1.74924,0.786866,0
27,825.737,1.74924,0.786866,0
28,825.737,1.74924,0.786866,0
29,825.737,1.74924,0.786866,0
30,825.737,1.74924,0.786866,0
31,825.737,1.74924,0.786866,0
32,825.737,1.74924,0.786866,0
33,825.737,1.74924,0.786866,0
34,825.737,1.74924,0.786866,0
