time,node_id,x,y,z
1,20,48.1569,6.93176,0
1,21,51.2689,2.95813,0
1,22,71.282,72.6319,0
1,23,63.1578,64.4965,0
1,24,73.2099,29.1752,0
1,25,81.434,34.1851,0
1,26,20.2315,52.4039,0
1,27,71.8518,3.10536,0
1,28,90.1509,26.3993,0
1,29,89.488,66.954,0
2,20,48.79,6.1577,0
2,21,52.198,3.32794,0
2,22,70.2826,72.6657,0
2,23,63.601,65.3929,0
2,24,73.4376,28.2015,0
2,25,81.2629,35.1703,0
2,26,20.3268,51.4084,0
2,27,72.5422,3.82879,0
2,28,90.4731,25.4526,0
2,29,89.2299,67.9202,0
3,20,48.4024,5.23588,0
3,21,51.838,4.26091,0
3,22,70.3765,71.6701,0
3,23,64.3164,66.0916,0
3,24,74.3024,28.7035,0
3,25,81.9457,34.4397,0
3,26,19.9014,52.3134,0
3,27,73.3653,3.26089,0
3,28,89.4808,25.5767,0
3,29,88.4194,67.3345,0
4,20,48.0148,4.31407,0
4,21,51.4781,5.19388,0
4,22,70.4704,70.6746,0
4,23,65.0319,66.7902,0
4,24,75.1673,29.2054,0
4,25,82.6285,33.7091,0
4,26,19.4761,53.2185,0
4,27,74.1884,2.69298,0
4,28,88.4885,25.7008,0
4,29,87.6088,66.7488,0
5,20,48.4164,3.39826,0
5,21,52.116,4.42379,0
5,22,69.8727,69.8729,0
5,23,65.2846,67.7578,0
5,24,76.1066,28.8623,0
5,25,81.6286,33.7255,0
5,26,20.4708,53.321,0
5,27,73.7599,3.59652,0
5,28,88.1148,24.7733,0
5,29,86.8202,66.1339,0
6,20,48.818,2.48246,0
6,21,52.7539,3.65371,0
6,22,69.2749,69.0712,0
6,23,65.5373,68.7253,0
6,24,77.0459,28.5193,0
6,25,80.6288,33.7419,0
6,26,21.4655,53.4236,0
6,27,73.3313,4.50006,0
6,28,87.741,23.8458,0
6,29,86.0316,65.519,0
7,20,47.8238,2.5899,0
7,21,51.9462,3.06423,0
7,22,69.6677,69.9908,0
7,23,66.4933,69.0187,0
7,24,78.0459,28.5113,0
7,25,80.7376,34.736,0
7,26,22.4432,53.2137,0
7,27,74.0086,3.76429,0
7,28,88.7402,23.8064,0
7,29,86.5531,66.3722,0
8,20,46.8296,2.69733,0
8,21,51.1384,2.47474,0
8,22,70.0606,70.9104,0
8,23,67.4493,69.3121,0
8,24,79.0459,28.5034,0
8,25,80.8464,35.73,0
8,26,23.421,53.0038,0
8,27,74.6858,3.02851,0
8,28,89.7395,23.767,0
8,29,87.0746,67.2255,0
9,20,47.4791,1.93696,0
9,21,52.0813,2.80789,0
9,22,69.0966,71.1764,0
9,23,68.4434,69.204,0
9,24,78.4347,27.7119,0
9,25,81.6974,35.2049,0
9,26,22.421,52.9935,0
9,27,73.8536,2.47399,0
9,28,90.308,24.5896,0
9,29,87.8892,67.8054,0
10,20,48.1286,1.17659,0
10,21,53.0241,3.14105,0
10,22,68.1326,71.4423,0
10,23,69.4376,69.0959,0
10,24,77.8235,26.9204,0
10,25,82.5485,34.6798,0
10,26,21.4211,52.9833,0
10,27,73.0214,1.91948,0
10,28,90.8766,25.4123,0
10,29,88.7039,68.3854,0
