node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,10.7535,1.25034,0.784678,0
1,10.7535,1.25034,0.784678,0
2,10.7535,1.25034,0.784678,0
3,10.7535,1.25034,0.784678,0
4,10.7535,1.25034,0.784678,0
5,10.7535,1.25034,0.784678,0
6,10.7535,1.25034,0.784678,0
7,10.7535,1.25034,0.784678,0
8,10.7535,1.25034,0.784678,0
9,10.7535,1.25034,0.784678,0
10,10.7535,1.25034,0.784678,0
11,10.7535,1.25034,0.784678,0
12,10.7535,1.25034,0.784678,0
13,10.7535,1.25034,0.784678,0
14,10.7535,1.25034,0.784678,0
15,10.7535,1.25034,0.784678,0
16,10.7535,1.25034,0.784678,0
17,10.7535,1.25034,0.784678,0
18,10.7535,1.25034,0.784678,0
19,10.7535,1.25034,0.784678,0
20,10.7535,1.25034,0.784678,0
21,10.7535,1.25034,0.784678,0
22,10.7535,1.25034,0.784678,0
23,10.7535,1.25034,0.784678,0
24,10.7535,1.25034,0.784678,0
25,10.7535,1.25034,0.784678,0
26,10.7535,1.25034,0.784678,0
27,10.7535,1.25034,0.784678,0
28,10.7535,1.25034,0.784678,0
29,10.7535,1.25034,0.784678,0
30,10.7535,1.25034,0.784678,0
31,10.7535,1.25034,0.784678,0
