node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,301.59,0.655295,0.410669,0
1,301.59,0.655295,0.410669,0
2,301.59,0.655295,0.410669,0
3,301.59,0.655295,0.410669,0
4,301.59,0.655295,0.410669,0
5,301.59,0.655295,0.410669,0
6,301.59,0.655295,0.410669,0
7,301.59,0.655295,0.410669,0
8,301.59,0.655295,0.410669,0
9,301.59,0.655295,0.410669,0
10,301.59,0.655295,0.410669,0
11,301.59,0.655295,0.410669,0
12,301.59,0.655295,0.410669,0
13,301.59,0.655295,0.410669,0
14,301.59,0.655295,0.410669,0
15,301.59,0.655295,0.410669,0
16,301.59,0.655295,0.410669,0
17,301.59,0.655295,0.410669,0
18,301.59,0.655295,0.410669,0
19,301.59,0.655295,0.410669,0
20,301.59,0.655295,0.410669,0
21,301.59,0.655295,0.410669,0
22,301.59,0.655295,0.410669,0
23,301.59,0.655295,0.410669,0
24,301.59,0.655295,0.410669,0
25,301.59,0.655295,0.410669,0
26,301.59,0.655295,0.410669,0
27,301.59,0.655295,0.410669,0
28,301.59,0.655295,0.410669,0
29,301.59,0.655295,0.410669,0
30,301.59,0.655295,0.410669,0
31,301.59,0.655295,0.410669,0
