time,node_id,x,y,z
1,20,73.2249,75.3965,0
1,21,7.414,21.4113,0
1,22,49.3635,1.02422,0
1,23,41.9215,34.9319,0
1,24,4.26844,63.3986,0
1,25,34.8407,13.0417,0
1,26,41.3796,83.2496,0
1,27,64.3466,0.725388,0
1,28,55.8254,52.7504,0
1,29,13.1365,87.7884,0
2,20,74.0678,75.9346,0
2,21,8.40442,21.2733,0
2,22,49.3709,2.02419,0
2,23,42.525,34.1346,0
2,24,3.44009,62.8384,0
2,25,35.1644,13.9878,0
2,26,40.4486,83.6147,0
2,27,64.7123,1.65614,0
2,28,55.9907,53.7367,0
2,29,12.2719,88.2909,0
3,20,73.5508,75.0787,0
3,21,7.79028,20.4841,0
3,22,49.0695,2.97769,0
3,23,43.093,34.9576,0
3,24,3.87721,63.7378,0
3,25,35.7975,14.7619,0
3,26,40.5836,84.6055,0
3,27,65.3416,0.879022,0
3,28,56.4697,52.8589,0
3,29,12.0138,87.3247,0
4,20,73.0338,74.2227,0
4,21,7.17614,19.6949,0
4,22,48.7681,3.93118,0
4,23,43.6609,35.7807,0
4,24,4.31434,64.6372,0
4,25,36.4306,15.536,0
4,26,40.7186,85.5964,0
4,27,65.971,0.101903,0
4,28,56.9488,51.9811,0
4,29,11.7557,86.3586,0
5,20,72.0742,74.5042,0
5,21,7.09509,20.6916,0
5,22,49.3505,4.74409,0
5,23,43.1658,36.6496,0
5,24,5.27077,64.3452,0
5,25,36.8231,16.4557,0
5,26,41.7016,85.4127,0
5,27,64.9725,0.157088,0
5,28,56.9602,52.981,0
5,29,11.321,85.4581,0
6,20,71.1147,74.7858,0
6,21,7.01403,21.6883,0
6,22,49.9329,5.55699,0
6,23,42.6707,37.5184,0
6,24,6.2272,64.0533,0
6,25,37.2156,17.3755,0
6,26,42.6846,85.229,0
6,27,63.974,0.212274,0
6,28,56.9716,53.981,0
6,29,10.8863,84.5575,0
7,20,70.9677,73.7966,0
7,21,7.4353,22.5952,0
7,22,49.1943,4.8828,0
7,23,41.6722,37.5725,0
7,24,5.38948,63.5072,0
7,25,37.9419,18.0628,0
7,26,43.5197,84.6789,0
7,27,63.423,0.622229,0
7,28,57.7368,54.6248,0
7,29,10.4248,85.4446,0
8,20,70.8207,72.8075,0
8,21,7.85658,23.5022,0
8,22,48.4558,4.20862,0
8,23,40.6736,37.6265,0
8,24,4.55176,62.9611,0
8,25,38.6683,18.7502,0
8,26,44.3547,84.1287,0
8,27,62.872,1.45673,0
8,28,58.5019,55.2687,0
8,29,9.96332,86.3318,0
9,20,70.8513,71.808,0
9,21,8.47456,22.716,0
9,22,49.3807,3.82835,0
9,23,41.1723,36.7598,0
9,24,5.45768,63.3845,0
