time,node_id,x,y,z
1,20,65.0809,58.9728,0
1,21,76.6572,45.1691,0
1,22,12.3779,65.4386,0
1,23,92.2206,79.0058,0
1,24,84.615,38.1991,0
1,25,18.4648,27.4184,0
1,26,78.591,85.2122,0
1,27,93.2489,38.3921,0
1,28,72.1086,74.2964,0
1,29,59.632,8.78396,0
2,20,64.293,58.3571,0
2,21,76.7016,46.1681,0
2,22,13.3466,65.1903,0
2,23,91.2896,79.3706,0
2,24,84.0138,38.9982,0
2,25,17.5252,27.0762,0
2,26,79.5755,85.3875,0
2,27,94.129,38.8669,0
2,28,72.2547,75.2856,0
2,29,60.2226,7.97704,0
3,20,64.106,57.3747,0
3,21,75.7847,46.5672,0
3,22,12.3793,65.444,0
3,23,90.6295,80.1218,0
3,24,83.1222,39.451,0
3,25,18.5211,26.9861,0
3,26,80.3274,86.0468,0
3,27,93.78,37.9298,0
3,28,73.1603,75.7097,0
3,29,59.7588,8.86298,0
4,20,63.9191,56.3924,0
4,21,74.8678,46.9663,0
4,22,11.4121,65.6978,0
4,23,89.9694,80.873,0
4,24,82.2306,39.9038,0
4,25,19.517,26.896,0
4,26,81.0794,86.706,0
4,27,93.431,36.9926,0
4,28,74.0659,76.1338,0
4,29,59.295,9.74893,0
5,20,62.9812,56.7392,0
5,21,75.8258,47.2532,0
5,22,12.4062,65.5894,0
5,23,89.2022,80.2316,0
5,24,81.4404,40.5167,0
5,25,20.1542,27.6667,0
5,26,81.2726,87.6872,0
5,27,92.8557,37.8106,0
5,28,73.2649,75.5351,0
5,29,60.2074,9.33956,0
6,20,62.0432,57.086,0
6,21,76.7837,47.5401,0
6,22,13.4003,65.4809,0
6,23,88.435,79.5901,0
6,24,80.6502,41.1295,0
6,25,20.7914,28.4374,0
6,26,81.4659,88.6683,0
6,27,92.2804,38.6285,0
6,28,72.464,74.9364,0
6,29,61.1198,8.9302,0
7,20,63.0431,57.0677,0
7,21,76.6348,48.5289,0
7,22,13.7776,66.407,0
7,23,88.8347,78.6735,0
7,24,81.0868,42.0291,0
7,25,21.4944,29.1487,0
7,26,82.0827,89.4554,0
7,27,92.8259,37.7904,0
7,28,73.4633,74.9735,0
7,29,61.2861,7.94414,0
8,20,64.0429,57.0494,0
8,21,76.4859,49.5178,0
8,22,14.155,67.333,0
8,23,89.2343,77.7568,0
8,24,81.5234,42.9288,0
8,25,22.1973,29.8599,0
8,26,82.6996,90.2425,0
8,27,93.3714,36.9523,0
8,28,74.4626,75.0107,0
8,29,61.4525,6.95808,0
9,20,64.6642,57.833,0
9,21,76.1571,50.4622,0
9,22,14.4616,68.2849,0
9,23,89.7277,76.887,0
9,24,82.4181,43.3755,0
9,25,22.6256,30.7636,0
9,26,82.1233,91.0598,0
9,27,92.5911,36.3268,0
9,28,74.0486,74.1004,0
9,29,61.4423,5.95813,0
10,20,65.2856,58.6165,0
10,21,75.8282,51.4065,0
10,22,14.7682,69.2367,0
10,23,90.2212,76.0172,0
10,24,83.3127,43.8222,0
10,25,23.0539,31.6672,0
10,26,81.547,91.877,0
10,27,91.8109,35.7013,0
10,28,73.6345,73.1902,0
10,29,61.432,4.95819,0
11,20,65.7959,59.4765,0
11,21,75.058,52.0443,0
11,22,14.6403,70.2285,0
11,23,91.1808,76.2986,0
11,24,82.374,43.4777,0
11,25,23.0239,32.6668,0
11,26,81.9777,90.9745,0
11,27,92.8106,35.6781,0
11,28,74.1139,72.3126,0
11,29,60.6087,4.39061,0
12,20,66.3063,60.3364,0
12,21,74.2878,52.6821,0
12,22,14.5123,71.2202,0
12,23,92.1404,76.5799,0
12,24,81.4352,43.1332,0
12,25,22.9939,33.6663,0
12,26,82.4084,90.072,0
12,27,93.8103,35.6548,0
12,28,74.5933,71.435,0
12,29,59.7854,3.82304,0
13,20,67.2116,59.9116,0
13,21,74.5726,51.7235,0
13,22,15.2373,70.5315,0
13,23,91.3342,75.9883,0
13,24,81.2652,44.1186,0
13,25,22.8371,34.6539,0
13,26,82.9226,90.9297,0
13,27,93.9147,34.6603,0
13,28,74.4693,72.4272,0
13,29,60.5777,4.43305,0
14,20,68.1168,59.4868,0
14,21,74.8574,50.765,0
14,22,15.9623,69.8428,0
14,23,90.528,75.3966,0
14,24,81.0951,45.1041,0
14,25,22.6803,35.6416,0
14,26,83.4369,91.7873,0
14,27,94.019,33.6657,0
14,28,74.3453,73.4195,0
14,29,61.3701,5.04307,0
15,20,68.8924,60.1181,0
15,21,75.8435,50.9316,0
15,22,16.1791,68.8666,0
15,23,91.3625,74.8456,0
15,24,81.5223,44.1999,0
15,25,23.1566,36.5209,0
15,26,84.196,91.1363,0
15,27,93.1266,33.2144,0
15,28,73.5591,72.8015,0
15,29,60.8148,5.87468,0
16,20,69.6679,60.7494,0
16,21,76.8295,51.0982,0
16,22,16.3958,67.8904,0
16,23,92.1969,74.2946,0
16,24,81.9496,43.2958,0
16,25,23.6328,37.4002,0
16,26,84.9551,90.4854,0
16,27,92.2343,32.763,0
16,28,72.773,72.1835,0
16,29,60.2594,6.70629,0
17,20,70.2184,59.9146,0
17,21,76.4884,50.1582,0
17,22,17.0497,67.1337,0
17,23,91.6596,73.4512,0
17,24,82.8667,43.6942,0
17,25,24.2979,36.6534,0
17,26,85.8252,89.9925,0
17,27,92.0663,33.7488,0
17,28,72.1552,71.3971,0
17,29,60.8822,5.9239,0
18,20,70.7688,59.0797,0
18,21,76.1472,49.2181,0
18,22,17.7035,66.3771,0
18,23,91.1223,72.6079,0
18,24,83.7839,44.0926,0
18,25,24.9629,35.9066,0
18,26,86.6953,89.4997,0
18,27,91.8984,34.7346,0
18,28,71.5374,70.6108,0
18,29,61.505,5.14151,0
19,20,71.2476,59.9577,0
19,21,75.5998,48.3813,0
19,22,17.2027,65.5115,0
19,23,91.5752,71.7163,0
19,24,84.2858,44.9576,0
19,25,25.9619,35.9516,0
19,26,85.733,89.7716,0
19,27,92.5511,33.977,0
19,28,71.9809,71.5071,0
19,29,60.7572,5.80548,0
20,20,71.7264,60.8356,0
20,21,75.0524,47.5444,0
20,22,16.7019,64.646,0
20,23,92.0281,70.8248,0
20,24,84.7877,45.8225,0
20,25,26.9609,35.9966,0
20,26,84.7707,90.0436,0
20,27,93.2038,33.2194,0
20,28,72.4243,72.4034,0
20,29,60.0095,6.46944,0
21,20,71.0467,61.5692,0
21,21,75.1436,48.5402,0
21,22,15.794,65.0652,0
21,23,91.4996,71.6737,0
21,24,84.0524,46.5002,0
21,25,27.9608,36.0132,0
21,26,84.1778,90.8488,0
21,27,92.335,33.7146,0
21,28,73.3438,72.0104,0
21,29,59.402,7.26381,0
22,20,70.3671,62.3027,0
22,21,75.2348,49.5361,0
22,22,14.8861,65.4845,0
22,23,90.971,72.5226,0
22,24,83.3171,47.178,0
22,25,28.9606,36.0299,0
22,26,83.5848,91.6541,0
22,27,91.4662,34.2098,0
22,28,74.2634,71.6174,0
22,29,58.7946,8.05818,0
23,20,69.4227,61.9741,0
23,21,74.5024,48.8552,0
23,22,13.9966,65.0276,0
23,23,90.4478,71.6703,0
23,24,83.2927,46.1783,0
23,25,29.9049,35.7009,0
23,26,82.5937,91.7868,0
23,27,91.8097,35.1489,0
23,28,73.533,72.3004,0
23,29,58.0196,7.42626,0
24,20,68.4782,61.6454,0
24,21,73.77,48.1743,0
24,22,13.1071,64.5707,0
24,23,89.9247,70.8181,0
24,24,83.2683,45.1786,0
24,25,30.8493,35.3718,0
24,26,81.6025,91.9195,0
24,27,92.1532,36.0881,0
24,28,72.8026,72.9835,0
24,29,57.2445,6.79433,0
25,20,69.4777,61.6795,0
25,21,72.779,48.3084,0
25,22,12.8864,63.5954,0
25,23,90.007,69.8215,0
25,24,84.1475,44.7021,0
25,25,30.0194,34.8139,0
25,26,82.5226,91.5278,0
25,27,91.2352,36.4845,0
25,28,73.693,72.5283,0
25,29,58.2062,6.51995,0
26,20,70.4771,61.7135,0
26,21,71.7881,48.4425,0
26,22,12.6657,62.62,0
26,23,90.0893,68.8249,0
26,24,85.0267,44.2256,0
26,25,29.1895,34.2559,0
26,26,83.4427,91.1361,0
