time,node_id,x,y,z
1,20,19.7175,40.3996,0
1,21,51.5805,67.4054,0
1,22,77.118,90.3938,0
1,23,9.45603,37.2905,0
1,24,43.0245,84.6602,0
1,25,86.0807,66.8882,0
1,26,14.8591,60.6258,0
1,27,95.141,70.864,0
1,28,21.0529,18.0835,0
1,29,41.8977,20.2678,0
2,20,18.728,40.2549,0
2,21,51.2339,66.4674,0
2,22,78.0887,90.6342,0
2,23,8.53928,36.891,0
2,24,42.0249,84.6307,0
2,25,85.3497,66.2059,0
2,26,14.8502,59.6258,0
2,27,95.9839,71.4021,0
2,28,22.0433,17.9454,0
2,29,41.9051,21.2677,0
3,20,17.8346,40.7041,0
3,21,50.8444,65.5464,0
3,22,79.0776,90.7828,0
3,23,8.58092,35.8919,0
3,24,42.4712,83.7359,0
3,25,85.2541,67.2013,0
3,26,15.0653,60.6024,0
3,27,95.4669,70.5461,0
3,28,21.4292,17.1562,0
3,29,41.6037,22.2212,0
4,20,16.9412,41.1534,0
4,21,50.4549,64.6254,0
4,22,80.0665,90.9313,0
4,23,8.62255,34.8928,0
4,24,42.9176,82.841,0
4,25,85.1585,68.1967,0
4,26,15.2805,61.579,0
4,27,94.9499,69.6901,0
4,28,20.8151,16.367,0
4,29,41.3023,23.1747,0
5,20,17.9099,40.9053,0
5,21,49.4994,64.9205,0
5,22,79.8472,89.9557,0
5,23,9.15888,34.0488,0
5,24,42.5282,83.7621,0
5,25,86.0047,67.6637,0
5,26,16.2804,61.5805,0
5,27,93.9903,69.9717,0
5,28,20.734,17.3637,0
5,29,41.8847,23.9876,0
6,20,18.8787,40.6573,0
6,21,48.544,65.2156,0
6,22,79.628,88.98,0
6,23,9.69521,33.2048,0
6,24,42.1389,84.6832,0
6,25,86.8508,67.1308,0
6,26,17.2804,61.5821,0
6,27,93.0308,70.2532,0
6,28,20.6529,18.3604,0
6,29,42.4671,24.8005,0
7,20,17.9975,41.13,0
7,21,48.0504,64.3459,0
7,22,78.9698,88.2271,0
7,23,10.6018,32.7827,0
7,24,43.137,84.7451,0
7,25,87.8456,67.2323,0
7,26,16.6562,62.3633,0
7,27,92.8838,69.2641,0
7,28,21.0742,19.2674,0
7,29,41.7285,24.1263,0
8,20,17.1163,41.6028,0
8,21,47.5569,63.4762,0
8,22,78.3116,87.4743,0
8,23,11.5083,32.3606,0
8,24,44.135,84.807,0
8,25,88.8405,67.3338,0
8,26,16.032,63.1446,0
8,27,92.7368,68.275,0
8,28,21.4955,20.1743,0
8,29,40.99,23.4522,0
9,20,16.6323,42.4779,0
9,21,46.8152,64.1469,0
9,22,79.1333,86.9044,0
9,23,11.2587,33.3289,0
9,24,44.9273,84.1968,0
9,25,87.8444,67.4225,0
9,26,15.3926,62.3757,0
9,27,92.7674,67.2754,0
9,28,22.1135,19.3881,0
9,29,41.9148,23.0719,0
10,20,16.1484,43.353,0
10,21,46.0735,64.8177,0
10,22,79.9551,86.3345,0
10,23,11.009,34.2973,0
10,24,45.7195,83.5866,0
10,25,86.8484,67.5112,0
10,26,14.7532,61.6068,0
10,27,92.798,66.2759,0
10,28,22.7315,18.6019,0
10,29,42.8397,22.6916,0
11,20,16.913,42.7084,0
11,21,45.3284,64.1507,0
11,22,79.671,87.2933,0
11,23,10.8243,35.2801,0
11,24,46.2157,84.4548,0
11,25,87.704,66.9936,0
11,26,15.478,62.2957,0
11,27,93.5328,65.5977,0
11,28,23.7086,18.3893,0
11,29,42.7037,21.7009,0
12,20,17.6775,42.0639,0
12,21,44.5834,63.4837,0
12,22,79.387,88.2521,0
12,23,10.6396,36.2629,0
12,24,46.7119,85.323,0
12,25,88.5596,66.476,0
12,26,16.2029,62.9847,0
12,27,94.2677,64.9195,0
12,28,24.6857,18.1767,0
12,29,42.5678,20.7102,0
13,20,18.6761,42.117,0
13,21,43.9876,64.2869,0
13,22,79.2083,89.236,0
13,23,11.232,35.4572,0
13,24,45.7125,85.2887,0
13,25,88.3237,65.5042,0
13,26,16.6783,62.1049,0
13,27,93.2929,64.6966,0
13,28,25.4666,18.8014,0
13,29,42.6354,21.7079,0
14,20,19.6747,42.1702,0
14,21,43.3918,65.09,0
14,22,79.0295,90.2199,0
14,23,11.8245,34.6516,0
14,24,44.7131,85.2544,0
14,25,88.0877,64.5324,0
14,26,17.1536,61.2251,0
14,27,92.318,64.4738,0
14,28,26.2476,19.426,0
14,29,42.7031,22.7056,0
15,20,20.6293,41.8724,0
15,21,43.6786,66.048,0
15,22,79.6695,90.9884,0
15,23,12.1298,33.6994,0
15,24,44.7802,84.2567,0
15,25,87.6826,65.4467,0
15,26,18.1536,61.238,0
15,27,92.2927,65.4735,0
15,28,25.3233,19.8078,0
15,29,43.4459,22.0362,0
16,20,21.584,41.5746,0
16,21,43.9654,67.006,0
16,22,80.3094,91.7568,0
16,23,12.4352,32.7471,0
16,24,44.8473,83.259,0
16,25,87.2774,66.3609,0
16,26,19.1535,61.2509,0
16,27,92.2675,66.4732,0
16,28,24.3991,20.1896,0
16,29,44.1888,21.3667,0
17,20,20.8911,42.2957,0
17,21,44.5516,66.1959,0
17,22,80.9128,92.5543,0
17,23,13.0844,31.9865,0
17,24,44.0014,83.7923,0
17,25,87.5724,65.4054,0
17,26,18.1596,61.1403,0
17,27,92.4276,67.4602,0
17,28,23.4422,19.8991,0
17,29,43.201,21.5226,0
18,20,20.1982,43.0167,0
18,21,45.1379,65.3857,0
18,22,81.5162,93.3517,0
18,23,13.7336,31.2259,0
18,24,43.1555,84.3256,0
18,25,87.8674,64.4499,0
18,26,17.1657,61.0297,0
18,27,92.5877,68.4473,0
18,28,22.4853,19.6085,0
18,29,42.2132,21.6784,0
19,20,21.195,42.9368,0
19,21,45.1182,66.3855,0
19,22,82.3602,93.888,0
19,23,12.9491,30.6058,0
19,24,42.1597,84.4166,0
19,25,88.6588,63.8387,0
19,26,17.8633,60.3131,0
19,27,92.857,69.4104,0
19,28,21.7963,18.8838,0
19,29,41.9707,22.6485,0
20,20,22.1918,42.8568,0
20,21,45.0985,67.3853,0
20,22,83.2042,94.4243,0
20,23,12.1645,29.9858,0
20,24,41.1638,84.5076,0
20,25,89.4503,63.2275,0
20,26,18.5608,59.5966,0
20,27,93.1263,70.3735,0
20,28,21.1073,18.159,0
20,29,41.7281,23.6187,0
21,20,22.9876,43.4623,0
21,21,44.2528,67.919,0
21,22,83.0461,93.4369,0
21,23,13.1232,29.7012,0
21,24,41.4483,85.4663,0
21,25,89.8638,62.317,0
21,26,18.892,58.653,0
21,27,93.7869,69.6228,0
21,28,21.9987,17.7059,0
21,29,42.699,23.379,0
22,20,23.7835,44.0678,0
22,21,43.4071,68.4526,0
22,22,82.888,92.4495,0
22,23,14.0818,29.4166,0
22,24,41.7328,86.425,0
22,25,90.2774,61.4065,0
22,26,19.2231,57.7094,0
22,27,94.4475,68.872,0
22,28,22.8902,17.2528,0
22,29,43.6698,23.1394,0
23,20,24.7059,43.6817,0
23,21,42.409,68.3906,0
23,22,83.8843,92.3634,0
23,23,14.9492,28.9188,0
23,24,42.6808,86.7431,0
23,25,91.2268,61.0924,0
23,26,19.3412,56.7164,0
23,27,94.6107,69.8586,0
23,28,23.8503,17.5323,0
23,29,42.9868,22.409,0
24,20,25.6283,43.2955,0
24,21,41.411,68.3285,0
24,22,84.8806,92.2773,0
24,23,15.8165,28.4211,0
24,24,43.6289,87.0613,0
24,25,92.1762,60.7784,0
24,26,19.4592,55.7234,0
24,27,94.7739,70.8452,0
24,28,24.8104,17.8119,0
24,29,42.3037,21.6786,0
25,20,24.6307,43.3646,0
25,21,40.9289,69.2046,0
25,22,84.5185,91.3452,0
25,23,15.9759,29.4083,0
25,24,44.6231,87.1688,0
25,25,91.207,60.5321,0
25,26,19.1241,54.7812,0
25,27,93.7994,71.0695,0
25,28,24.9742,18.7984,0
25,29,42.1346,22.6642,0
26,20,23.6331,43.4337,0
26,21,40.4469,70.0808,0
26,22,84.1565,90.413,0
26,23,16.1354,30.3955,0
26,24,45.6173,87.2763,0
26,25,90.2378,60.2857,0
26,26,18.7889,53.8391,0
26,27,92.8249,71.2937,0
26,28,25.138,19.7849,0
26,29,41.9655,23.6498,0
27,20,23.0856,44.2705,0
27,21,40.6683,69.1056,0
27,22,84.8766,91.1068,0
27,23,15.1487,30.5584,0
27,24,44.6182,87.3197,0
27,25,90.8715,61.0593,0
27,26,17.9224,53.3399,0
27,27,93.3848,70.4652,0
27,28,24.358,20.4107,0
27,29,41.1118,23.129,0
28,20,22.5381,45.1073,0
28,21,40.8897,68.1304,0
28,22,85.5968,91.8007,0
28,23,14.162,30.7212,0
28,24,43.6192,87.3631,0
28,25,91.5052,61.8328,0
28,26,17.0559,52.8407,0
28,27,93.9448,69.6367,0
28,28,23.578,21.0365,0
28,29,40.2582,22.6082,0
29,20,23.4787,44.768,0
29,21,39.9272,67.859,0
29,22,84.9606,92.5722,0
29,23,13.4732,29.9963,0
29,24,44.5469,87.7364,0
29,25,92.504,61.7821,0
29,26,16.4942,52.0134,0
29,27,94.3768,68.7348,0
29,28,22.6963,21.5083,0
29,29,39.7547,21.7442,0
30,20,24.4194,44.4286,0
30,21,38.9647,67.5877,0
