node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,4.639,0.882961,0.546203,0
1,4.639,0.882961,0.546203,0
2,4.639,0.882961,0.546203,0
3,4.639,0.882961,0.546203,0
4,4.639,0.882961,0.546203,0
5,4.639,0.882961,0.546203,0
6,4.639,0.882961,0.546203,0
7,4.639,0.882961,0.546203,0
8,4.639,0.882961,0.546203,0
9,4.639,0.882961,0.546203,0
10,4.639,0.882961,0.546203,0
11,4.639,0.882961,0.546203,0
12,4.639,0.882961,0.546203,0
13,4.639,0.882961,0.546203,0
14,4.639,0.882961,0.546203,0
15,4.639,0.882961,0.546203,0
16,4.639,0.882961,0.546203,0
17,4.639,0.882961,0.546203,0
18,4.639,0.882961,0.546203,0
19,4.639,0.882961,0.546203,0
20,4.639,0.882961,0.546203,0
21,4.639,0.882961,0.546203,0
22,4.639,0.882961,0.546203,0
23,4.639,0.882961,0.546203,0
24,4.639,0.882961,0.546203,0
25,4.639,0.882961,0.546203,0
26,4.639,0.882961,0.546203,0
27,4.639,0.882961,0.546203,0
28,4.639,0.882961,0.546203,0
29,4.639,0.882961,0.546203,0
30,4.639,0.882961,0.546203,0
31,4.639,0.882961,0.546203,0
32,4.639,0.882961,0.546203,0
