time,node_id,x,y,z
1,20,42.6675,71.1661,0
1,21,8.95241,43.409,0
1,22,78.5157,65.1587,0
1,23,42.0657,94.5304,0
1,24,59.1468,14.6115,0
1,25,26.395,78.4232,0
1,26,67.8323,28.6789,0
1,27,15.6251,38.2152,0
1,28,84.0874,94.9003,0
1,29,29.5493,44.1492,0
2,20,42.656,70.1661,0
2,21,9.94279,43.5474,0
2,22,77.6833,64.6045,0
2,23,42.8132,95.1947,0
2,24,59.9413,15.2187,0
2,25,25.8746,79.2771,0
2,26,68.7953,28.9482,0
2,27,15.5856,37.216,0
2,28,83.0883,94.9429,0
2,29,29.1391,43.2372,0
3,20,43.3884,70.847,0
3,21,10.718,42.9157,0
3,22,77.6272,63.6061,0
3,23,43.558,95.862,0
3,24,60.0893,14.2298,0
3,25,26.8738,79.3173,0
3,26,68.1966,28.1473,0
3,27,14.6142,36.9783,0
3,28,83.7864,95.6589,0
3,29,29.801,42.4877,0
4,20,44.1208,71.5278,0
4,21,11.4932,42.284,0
4,22,77.5712,62.6077,0
4,23,44.3027,96.5294,0
4,24,60.2373,13.2408,0
4,25,27.873,79.3575,0
4,26,67.5978,27.3463,0
4,27,13.6429,36.7407,0
4,28,84.4844,96.375,0
4,29,30.463,41.7382,0
5,20,43.7597,70.5953,0
5,21,11.9704,43.1628,0
5,22,77.7391,63.5935,0
5,23,44.9259,97.3115,0
5,24,59.2555,13.0506,0
5,25,27.7728,80.3525,0
5,26,68.1641,28.1706,0
5,27,14.6425,36.7136,0
5,28,84.3239,95.3879,0
5,29,30.2031,40.7726,0
6,20,43.3986,69.6628,0
6,21,12.4475,44.0416,0
6,22,77.9071,64.5793,0
6,23,45.549,98.0936,0
6,24,58.2738,12.8605,0
6,25,27.6727,81.3475,0
6,26,68.7303,28.9948,0
6,27,15.6422,36.6865,0
6,28,84.1633,94.4009,0
6,29,29.9432,39.807,0
7,20,43.4173,68.6629,0
7,21,12.697,43.0733,0
7,22,78.3194,65.4903,0
7,23,46.0439,97.2246,0
7,24,57.2903,13.0416,0
7,25,28.4775,81.941,0
7,26,69.3612,29.7707,0
7,27,15.5647,35.6895,0
7,28,83.1648,94.4552,0
7,29,29.7029,40.7777,0
8,20,43.436,67.6631,0
8,21,12.9466,42.1049,0
8,22,78.7318,66.4013,0
8,23,46.5387,96.3556,0
8,24,56.3068,13.2226,0
8,25,29.2823,82.5345,0
8,26,69.992,30.5466,0
8,27,15.4873,34.6925,0
8,28,82.1662,94.5096,0
8,29,29.4627,41.7484,0
9,20,42.4428,67.7795,0
9,21,13.3175,43.0336,0
9,22,78.2189,67.2598,0
9,23,47.4566,95.9589,0
9,24,55.5494,13.8755,0
9,25,29.9057,83.3164,0
9,26,69.7684,29.5719,0
9,27,15.5388,35.6911,0
9,28,82.5615,93.591,0
9,29,28.8855,40.9317,0
10,20,41.4496,67.896,0
10,21,13.6884,43.9622,0
10,22,77.706,68.1182,0
10,23,48.3746,95.5622,0
10,24,54.7919,14.5284,0
10,25,30.5291,84.0983,0
10,26,69.5447,28.5973,0
10,27,15.5903,36.6898,0
10,28,82.9568,92.6725,0
10,29,28.3084,40.1151,0
11,20,40.6817,68.5366,0
11,21,12.6917,44.0436,0
11,22,78.0521,69.0565,0
11,23,48.9312,94.7314,0
11,24,53.9842,15.1179,0
11,25,29.5819,84.4191,0
11,26,70.3485,29.1921,0
11,27,14.8143,36.0591,0
11,28,82.3249,91.8975,0
11,29,27.317,40.2457,0
12,20,39.9139,69.1772,0
12,21,11.6951,44.1249,0
12,22,78.3981,69.9947,0
12,23,49.4879,93.9007,0
12,24,53.1764,15.7074,0
12,25,28.6348,84.74,0
12,26,71.1524,29.787,0
12,27,14.0383,35.4283,0
12,28,81.6929,91.1225,0
12,29,26.3255,40.3763,0
13,20,40.5439,69.9538,0
13,21,12.3603,43.3783,0
13,22,77.8054,69.1892,0
13,23,49.8629,92.9737,0
13,24,53.0243,16.6958,0
13,25,27.7264,84.322,0
13,26,71.7301,28.9707,0
13,27,15.0366,35.4872,0
13,28,81.042,90.3633,0
13,29,26.2329,39.3806,0
14,20,41.1739,70.7304,0
14,21,13.0254,42.6316,0
14,22,77.2128,68.3838,0
14,23,50.2379,92.0466,0
14,24,52.8723,17.6842,0
14,25,26.8179,83.904,0
14,26,72.3078,28.1545,0
14,27,16.0348,35.5461,0
14,28,80.3911,89.6042,0
14,29,26.1403,38.3849,0
15,20,40.2369,71.0799,0
15,21,13.4157,43.5523,0
15,22,78.1996,68.5453,0
15,23,49.7656,92.9281,0
15,24,53.7289,17.1683,0
15,25,25.8639,83.6041,0
15,26,73.192,27.6874,0
15,27,17.0311,35.4593,0
15,28,79.5186,90.0929,0
15,29,25.3963,37.7168,0
16,20,39.3,71.4293,0
16,21,13.806,44.473,0
16,22,79.1865,68.7068,0
16,23,49.2934,93.8096,0
16,24,54.5856,16.6524,0
16,25,24.9099,83.3043,0
16,26,74.0762,27.2204,0
16,27,18.0273,35.3725,0
16,28,78.6462,90.5816,0
16,29,24.6523,37.0486,0
17,20,39.9864,72.1566,0
17,21,12.8714,44.8287,0
17,22,78.1952,68.5756,0
17,23,48.2965,93.7307,0
17,24,53.8368,17.3152,0
17,25,25.4948,84.1154,0
17,26,73.2467,27.7788,0
17,27,17.0589,35.6218,0
17,28,79.4194,89.9475,0
17,29,25.3904,37.7233,0
18,20,40.6728,72.8838,0
18,21,11.9368,45.1844,0
18,22,77.2038,68.4444,0
