time,node_id,x,y,z
1,20,13.1362,73.3791,0
1,21,21.056,60.1276,0
1,22,37.2453,78.8543,0
1,23,58.9656,83.2273,0
1,24,17.5769,87.2789,0
1,25,42.3523,57.4184,0
1,26,39.5828,41.9514,0
1,27,25.2452,16.9407,0
1,28,35.9119,33.0966,0
1,29,34.1231,16.6307,0
2,20,12.4043,72.6976,0
2,21,21.7929,60.8036,0
2,22,38.1727,78.4803,0
2,23,58.4417,82.3755,0
2,24,18.5591,87.467,0
2,25,41.444,57.0002,0
2,26,40.5101,42.3258,0
2,27,25.4725,17.9146,0
2,28,36.4306,33.9516,0
2,29,34.0447,15.6337,0
3,20,13.1173,73.3988,0
3,21,22.7893,60.8884,0
3,22,38.1792,77.4803,0
3,23,59.4417,82.3872,0
3,24,19.4934,87.8233,0
3,25,40.97,56.1197,0
3,26,41.2268,41.6284,0
3,27,24.9324,18.7561,0
3,28,35.5607,34.4449,0
3,29,34.9,16.1519,0
4,20,13.8303,74.1,0
4,21,23.7857,60.9731,0
4,22,38.1856,76.4804,0
4,23,60.4416,82.3988,0
4,24,20.4278,88.1796,0
4,25,40.4959,55.2392,0
4,26,41.9436,40.931,0
4,27,24.3922,19.5977,0
4,28,34.6908,34.9381,0
4,29,35.7553,16.6701,0
5,20,13.3739,73.2102,0
5,21,24.7843,60.9214,0
5,22,37.1892,76.3948,0
5,23,59.4933,82.7161,0
5,24,19.4471,87.9841,0
5,25,39.798,55.9554,0
5,26,41.6927,41.899,0
5,27,25.1272,20.2758,0
5,28,34.0592,34.1629,0
5,29,35.811,15.6716,0
6,20,12.9176,72.3204,0
6,21,25.783,60.8697,0
6,22,36.1929,76.3092,0
6,23,58.5449,83.0335,0
6,24,18.4664,87.7886,0
6,25,39.1001,56.6716,0
6,26,41.4418,42.8671,0
6,27,25.8622,20.9539,0
6,28,33.4275,33.3876,0
6,29,35.8666,14.6732,0
7,20,11.9633,72.6194,0
7,21,25.586,61.8501,0
7,22,37.1884,76.4041,0
7,23,58.1551,83.9544,0
7,24,17.6265,88.3313,0
7,25,39.7501,57.4316,0
7,26,40.8155,42.0875,0
7,27,26.8172,21.2504,0
7,28,34.3853,33.675,0
7,29,34.8812,14.8432,0
8,20,11.0091,72.9184,0
8,21,25.389,62.8305,0
8,22,38.1839,76.4991,0
8,23,57.7654,84.8753,0
8,24,16.7866,88.874,0
8,25,40.4,58.1915,0
8,26,40.1891,41.308,0
8,27,27.7722,21.547,0
8,28,35.3432,33.9623,0
8,29,33.8958,15.0133,0
9,20,11.98,73.1579,0
9,21,24.4154,62.6023,0
9,22,38.3797,75.5184,0
9,23,57.0949,84.1333,0
9,24,16.4716,89.8231,0
9,25,39.5627,58.7383,0
9,26,41.0773,41.7675,0
9,27,27.588,22.5299,0
9,28,36.2024,33.4507,0
9,29,34.8712,14.7931,0
10,20,12.9509,73.3973,0
10,21,23.4418,62.3741,0
10,22,38.5755,74.5378,0
10,23,56.4244,83.3914,0
10,24,16.1565,90.7722,0
10,25,38.7255,59.2851,0
10,26,41.9655,42.227,0
10,27,27.4037,23.5128,0
10,28,37.0616,32.9391,0
10,29,35.8467,14.5729,0
11,20,13.9354,73.5726,0
11,21,22.8224,61.5891,0
11,22,38.2278,73.6001,0
11,23,55.5363,82.9318,0
11,24,16.2967,91.7623,0
11,25,39.5846,59.7968,0
11,26,42.93,42.491,0
11,27,26.8542,24.3483,0
11,28,36.9678,33.9347,0
11,29,36.6678,15.1437,0
12,20,14.92,73.7478,0
12,21,22.2029,60.8041,0
12,22,37.8801,72.6625,0
12,23,54.6481,82.4723,0
12,24,16.4369,92.7525,0
12,25,40.4438,60.3085,0
12,26,43.8945,42.755,0
12,27,26.3048,25.1838,0
12,28,36.874,34.9303,0
12,29,37.4889,15.7145,0
13,20,15.1424,74.7227,0
13,21,21.7925,61.716,0
13,22,38.6898,72.0757,0
13,23,55.6442,82.5608,0
13,24,16.2999,91.7619,0
13,25,39.8394,61.1052,0
13,26,44.1139,41.7794,0
13,27,25.6515,24.4267,0
13,28,36.5492,35.876,0
13,29,37.1191,14.7853,0
14,20,15.3648,75.6977,0
14,21,21.3822,62.6279,0
14,22,39.4995,71.4888,0
14,23,56.6403,82.6493,0
14,24,16.1628,90.7713,0
14,25,39.235,61.9019,0
14,26,44.3332,40.8037,0
14,27,24.9982,23.6696,0
14,28,36.2243,36.8218,0
14,29,36.7493,13.8562,0
15,20,16.3443,75.4961,0
15,21,22.1726,62.0153,0
15,22,38.5916,71.0696,0
15,23,55.8048,82.0998,0
15,24,15.1757,90.6114,0
15,25,39.1793,62.9003,0
15,26,45.3218,40.9543,0
15,27,24.2182,23.0437,0
15,28,37.112,37.2822,0
