time,node_id,x,y,z
1,20,82.3283,6.96001,0
1,21,57.3471,9.78607,0
1,22,44.4312,41.687,0
1,23,40.9926,13.759,0
1,24,49.1094,44.5049,0
1,25,3.10668,97.4032,0
1,26,64.1141,72.7957,0
1,27,73.6488,13.4665,0
1,28,27.3224,66.0375,0
1,29,87.0567,11.8685,0
2,20,81.9214,6.04655,0
2,21,57.8464,8.91968,0
2,22,44.6937,40.7221,0
2,23,41.8203,13.1978,0
2,24,48.4124,45.2219,0
2,25,3.38285,96.4421,0
2,26,63.2845,73.3542,0
2,27,73.2596,14.3876,0
2,28,27.0815,65.0669,0
2,29,87.6638,12.6632,0
3,20,82.542,6.83065,0
3,21,57.5903,7.95305,0
3,22,44.3359,41.6559,0
3,23,42.6861,12.6974,0
3,24,48.4005,44.222,0
3,25,2.39731,96.6116,0
3,26,64.284,73.387,0
3,27,73.7003,15.2853,0
3,28,27.3086,64.093,0
3,29,88.106,11.7663,0
4,20,83.1626,7.61475,0
4,21,57.3341,6.98641,0
4,22,43.9782,42.5897,0
4,23,43.5519,12.1971,0
4,24,48.3885,43.2221,0
4,25,1.41178,96.781,0
4,26,65.2834,73.4198,0
4,27,74.1409,16.183,0
4,28,27.5357,63.1192,0
4,29,88.5483,10.8694,0
5,20,83.216,8.61333,0
5,21,56.3999,6.62979,0
5,22,44.3438,41.6589,0
5,23,44.487,12.5515,0
5,24,48.8608,42.3406,0
5,25,2.11071,97.4962,0
5,26,66.281,73.489,0
5,27,73.2798,15.6746,0
5,28,28.236,63.833,0
5,29,89.444,10.4247,0
6,20,83.2693,9.6119,0
6,21,55.4656,6.27317,0
6,22,44.7094,40.7282,0
6,23,45.422,12.9059,0
6,24,49.3332,41.4592,0
6,25,2.80964,98.2114,0
6,26,67.2786,73.5583,0
6,27,72.4187,15.1662,0
6,28,28.9363,64.5468,0
6,29,90.3397,9.98009,0
7,20,82.6407,10.3897,0
7,21,54.6619,5.67817,0
7,22,44.1577,39.8941,0
7,23,44.4246,12.8348,0
7,24,49.5868,40.4919,0
7,25,1.87028,98.5543,0
7,26,66.4983,74.1836,0
7,27,71.7814,15.9369,0
7,28,29.1387,65.5261,0
7,29,91.339,10.0174,0
8,20,82.0122,11.1674,0
8,21,53.8582,5.08316,0
8,22,43.606,39.0601,0
8,23,43.4271,12.7636,0
8,24,49.8405,39.5246,0
8,25,0.930912,98.8972,0
8,26,65.7179,74.809,0
8,27,71.1442,16.7076,0
8,28,29.3411,66.5054,0
8,29,92.3383,10.0546,0
9,20,81.6024,12.0796,0
9,21,54.8541,5.17329,0
9,22,43.4357,40.0455,0
9,23,43.5874,13.7507,0
9,24,49.6701,38.5392,0
9,25,0.122368,98.3088,0
9,26,66.1837,75.6939,0
9,27,70.8054,17.6484,0
9,28,28.4523,66.9637,0
9,29,93.2246,10.5178,0
10,20,81.1927,12.9918,0
