time,node_id,x,y,z
1,20,94.4363,54.1384,0
1,21,68.267,21.364,0
1,22,51.8009,69.7678,0
1,23,56.998,75.7746,0
1,24,60.9136,80.704,0
1,25,91.1644,82.7999,0
1,26,12.7254,82.8502,0
1,27,2.81405,44.6333,0
1,28,59.4017,69.3564,0
1,29,77.7494,39.4147,0
2,20,93.6704,53.4954,0
2,21,68.799,22.2107,0
2,22,52.1313,70.7117,0
2,23,57.4664,74.8911,0
2,24,61.8827,80.9508,0
2,25,90.6674,81.9322,0
2,26,11.8012,82.4682,0
2,27,3.79987,44.4655,0
2,28,60.2784,69.8375,0
2,29,76.8361,39.0073,0
3,20,93.6004,52.4978,0
3,21,68.4884,21.2602,0
3,22,52.6101,71.5896,0
3,23,58.3891,74.5055,0
3,24,62.5773,80.2314,0
3,25,90.276,81.0119,0
3,26,12.4806,83.202,0
3,27,3.12993,43.723,0
3,28,59.4198,70.3501,0
3,29,77.1073,38.0448,0
4,20,93.5304,51.5003,0
4,21,68.1779,20.3096,0
4,22,53.0889,72.4675,0
4,23,59.3117,74.1198,0
4,24,63.2719,79.512,0
4,25,89.8846,80.0917,0
4,26,13.1599,83.9358,0
4,27,2.46,42.9806,0
4,28,58.5611,70.8628,0
4,29,77.3784,37.0822,0
5,20,94.5167,51.6655,0
5,21,69.1356,20.0219,0
5,22,53.2712,73.4508,0
5,23,58.4901,73.5498,0
5,24,62.6957,78.6947,0
5,25,90.8118,79.7172,0
5,26,12.341,84.5096,0
5,27,2.74287,43.9398,0
5,28,58.1976,71.7943,0
5,29,78.2091,37.639,0
6,20,95.5029,51.8307,0
6,21,70.0933,19.7341,0
6,22,53.4535,74.434,0
6,23,57.6684,72.9798,0
6,24,62.1195,77.8774,0
6,25,91.739,79.3427,0
6,26,11.522,85.0835,0
6,27,3.02575,44.8989,0
6,28,57.834,72.7259,0
6,29,79.0397,38.1958,0
7,20,95.9014,50.9135,0
7,21,70.7773,20.4636,0
7,22,52.5916,73.9268,0
7,23,58.6501,72.7891,0
7,24,62.3214,76.898,0
7,25,90.7793,79.0618,0
7,26,10.6575,85.586,0
7,27,2.6643,43.9665,0
7,28,57.1683,73.4721,0
7,29,79.0223,37.1959,0
8,20,96.2999,49.9963,0
8,21,71.4614,21.193,0
8,22,51.7298,73.4196,0
8,23,59.6317,72.5983,0
8,24,62.5234,75.9186,0
8,25,89.8195,78.781,0
8,26,9.79291,86.0886,0
8,27,2.30285,43.0342,0
8,28,56.5026,74.2183,0
8,29,79.0049,36.1961,0
9,20,95.2999,49.9886,0
9,21,71.9953,20.3475,0
9,22,51.8537,74.4119,0
9,23,59.0705,73.426,0
9,24,62.0519,75.0367,0
9,25,88.8653,78.4817,0
9,26,8.79307,86.0711,0
9,27,1.35776,43.361,0
9,28,56.9927,75.0899,0
9,29,78.5319,35.315,0
10,20,94.2999,49.981,0
10,21,72.5292,19.5019,0
10,22,51.9776,75.4042,0
10,23,58.5094,74.2537,0
10,24,61.5804,74.1549,0
10,25,87.9112,78.1824,0
10,26,7.79322,86.0537,0
10,27,0.412678,43.6878,0
10,28,57.4829,75.9615,0
10,29,78.0589,34.434,0
11,20,95.2651,50.2425,0
11,21,72.8208,18.5454,0
11,22,51.2336,76.0724,0
11,23,59.0598,73.4188,0
11,24,60.6638,74.5548,0
11,25,87.1283,77.5602,0
11,26,8.00325,85.076,0
11,27,0.0255915,42.7657,0
11,28,56.6934,75.3478,0
11,29,77.2626,33.829,0
12,20,96.2303,50.504,0
12,21,73.1123,17.5888,0
12,22,50.4896,76.7406,0
12,23,59.6102,72.5839,0
12,24,59.7473,74.9547,0
12,25,86.3455,76.938,0
12,26,8.21329,84.0983,0
12,27,0.361495,41.8437,0
12,28,55.9039,74.7341,0
12,29,76.4664,33.224,0
13,20,97.0949,50.0015,0
13,21,72.7821,18.5327,0
13,22,49.5031,76.9041,0
13,23,59.3563,73.5512,0
13,24,59.0263,75.6477,0
13,25,86.6299,75.9793,0
13,26,9.1773,84.3642,0
13,27,0.171829,42.6896,0
13,28,56.1892,75.6925,0
13,29,77.273,33.8151,0
14,20,97.9594,49.499,0
14,21,72.4519,19.4766,0
14,22,48.5165,77.0676,0
14,23,59.1025,74.5184,0
14,24,58.3054,76.3406,0
14,25,86.9144,75.0206,0
14,26,10.1413,84.63,0
14,27,0.705153,43.5355,0
14,28,56.4745,76.651,0
14,29,78.0796,34.4062,0
15,20,97.1828,50.1289,0
15,21,71.9532,20.3434,0
15,22,49.1474,76.2917,0
15,23,59.308,75.4971,0
15,24,58.3483,75.3416,0
15,25,87.2347,74.0733,0
15,26,9.19406,84.3096,0
15,27,0.860863,44.5233,0
15,28,55.9988,75.7714,0
15,29,77.6557,33.5005,0
16,20,96.4062,50.7589,0
16,21,71.4546,21.2102,0
16,22,49.7783,75.5159,0
16,23,59.5135,76.4757,0
16,24,58.3912,74.3425,0
16,25,87.5551,73.1261,0
16,26,8.2468,83.9891,0
16,27,1.01657,45.5111,0
16,28,55.523,74.8918,0
16,29,77.2319,32.5948,0
17,20,95.5048,51.192,0
17,21,70.5526,21.642,0
17,22,50.7019,75.1323,0
17,23,59.4349,77.4726,0
17,24,57.9515,73.4443,0
17,25,86.5639,72.9941,0
17,26,7.79539,84.8814,0
17,27,0.0503715,45.2533,0
17,28,55.8254,75.845,0
17,29,78.0607,33.1543,0
18,20,94.6035,51.625,0
18,21,69.6506,22.0737,0
18,22,51.6254,74.7488,0
18,23,59.3564,78.4695,0
18,24,57.5119,72.5462,0
18,25,85.5726,72.862,0
18,26,7.34399,85.7737,0
18,27,0.915829,44.9955,0
18,28,56.1279,76.7982,0
18,29,78.8895,33.7139,0
19,20,93.6761,51.9992,0
19,21,70.6465,21.9839,0
19,22,50.974,75.5075,0
19,23,58.5127,79.0065,0
19,24,57.4161,73.5416,0
19,25,85.2588,71.9126,0
19,26,6.34783,85.8613,0
19,27,0.867563,45.9944,0
19,28,55.3811,77.4632,0
19,29,78.7423,34.703,0
20,20,92.7488,52.3734,0
20,21,71.6425,21.894,0
20,22,50.3226,76.2662,0
20,23,57.6691,79.5434,0
20,24,57.3203,74.537,0
20,25,84.945,70.9631,0
20,26,5.35167,85.9489,0
20,27,0.819297,46.9932,0
