time,node_id,x,y,z
1,20,42.3341,53.1967,0
1,21,71.3033,8.16085,0
1,22,68.3295,62.8898,0
1,23,32.1121,50.759,0
1,24,19.4421,61.5225,0
1,25,2.9045,35.6228,0
1,26,99.7758,85.7498,0
1,27,8.92454,39.1945,0
1,28,39.7649,12.5288,0
1,29,4.04696,33.4772,0
2,20,43.0467,52.4951,0
2,21,71.7614,7.27191,0
2,22,68.8165,63.7631,0
2,23,31.5899,49.9062,0
2,24,18.9,60.6822,0
2,25,3.05287,34.6339,0
2,26,99.4424,85.1263,0
2,27,8.0808,38.6577,0
2,28,40.7297,12.7917,0
2,29,3.0851,33.2037,0
3,20,42.524,53.3477,0
3,21,70.819,6.93729,0
3,22,67.8862,63.3964,0
3,23,30.5939,49.8168,0
3,24,17.9086,60.8132,0
3,25,2.25896,34.0258,0
3,26,99.0745,86.0562,0
3,27,8.91223,38.1021,0
3,28,41.2379,13.653,0
3,29,3.98705,33.6355,0
4,20,42.0013,54.2002,0
4,21,69.8767,6.60267,0
4,22,66.9559,63.0297,0
4,23,29.5979,49.7274,0
4,24,16.9172,60.9441,0
4,25,1.46506,33.4178,0
4,26,98.7066,86.986,0
4,27,9.74366,37.5465,0
4,28,41.7461,14.5142,0
4,29,4.88899,34.0674,0
5,20,42.9772,53.9818,0
5,21,68.8771,6.63331,0
5,22,67.2918,63.9716,0
5,23,28.818,49.1015,0
5,24,16.8847,59.9446,0
5,25,0.50194,33.6869,0
5,26,98.8387,87.9773,0
5,27,10.7,37.2541,0
5,28,41.9423,15.4948,0
5,29,4.65991,33.094,0
6,20,43.9531,53.7634,0
6,21,67.8776,6.66395,0
6,22,67.6277,64.9135,0
6,23,28.0381,48.4756,0
6,24,16.8522,58.9451,0
6,25,0.461176,33.956,0
6,26,98.9707,88.9685,0
6,27,11.6563,36.9617,0
6,28,42.1386,16.4753,0
6,29,4.43083,32.1206,0
7,20,43.4177,52.9187,0
7,21,68.4785,5.8646,0
7,22,68.6266,64.8668,0
7,23,27.0546,48.2949,0
7,24,17.0393,57.9628,0
7,25,0.255442,32.9774,0
7,26,99.5664,88.1653,0
7,27,12.5574,36.5282,0
7,28,42.8562,17.1718,0
7,29,4.83476,31.2058,0
8,20,42.8824,52.0741,0
8,21,69.0793,5.06524,0
8,22,69.6255,64.82,0
8,23,26.0711,48.1142,0
8,24,17.2264,56.9804,0
8,25,0.0497094,31.9988,0
8,26,99.838,87.362,0
8,27,13.4585,36.0946,0
8,28,43.5739,17.8682,0
8,29,5.23868,30.291,0
9,20,43.8763,51.9635,0
9,21,69.3263,4.09622,0
9,22,70.5196,65.2681,0
9,23,26.1565,49.1105,0
9,24,16.5346,57.7025,0
9,25,0.0630043,32.9987,0
9,26,99.1749,87.5222,0
9,27,12.776,35.3637,0
9,28,43.6477,18.8655,0
9,29,4.29963,29.9472,0
10,20,44.8702,51.853,0
10,21,69.5733,3.1272,0
10,22,71.4136,65.7161,0
10,23,26.242,50.1069,0
10,24,15.8427,58.4245,0
10,25,0.0762991,33.9986,0
10,26,98.1879,87.6823,0
10,27,12.0934,34.6328,0
10,28,43.7215,19.8627,0
10,29,3.36057,29.6035,0
11,20,45.3234,52.7444,0
11,21,68.5776,3.22027,0
11,22,70.5219,65.2634,0
11,23,26.7355,50.9766,0
11,24,16.3272,59.2994,0
11,25,0.714564,34.7684,0
11,26,98.6524,86.7968,0
11,27,12.4494,35.5673,0
11,28,42.7801,19.5253,0
11,29,4.32414,29.8709,0
12,20,45.7767,53.6358,0
12,21,67.582,3.31333,0
12,22,69.6303,64.8107,0
12,23,27.2291,51.8463,0
12,24,16.8116,60.1742,0
12,25,1.35283,35.5382,0
12,26,99.117,85.9113,0
12,27,12.8054,36.5018,0
12,28,41.8388,19.1878,0
12,29,5.28771,30.1384,0
13,20,46.5762,54.2364,0
13,21,68.5652,3.13106,0
13,22,70.63,64.7895,0
13,23,28.2195,51.708,0
13,24,16.8743,61.1722,0
13,25,1.01159,36.4782,0
13,26,98.1833,86.2693,0
13,27,13.7696,36.2365,0
13,28,40.8499,19.0389,0
13,29,5.40179,31.1318,0
14,20,47.3757,54.8371,0
14,21,69.5485,2.9488,0
14,22,71.6298,64.7683,0
14,23,29.2099,51.5698,0
14,24,16.9371,62.1702,0
14,25,0.670354,37.4182,0
14,26,97.2496,86.6274,0
14,27,14.7338,35.9713,0
14,28,39.8611,18.8899,0
14,29,5.51587,32.1253,0
15,20,46.5018,54.351,0
15,21,68.5488,2.92126,0
15,22,70.9261,65.4788,0
15,23,28.2122,51.6369,0
15,24,16.4392,61.303,0
15,25,0.806605,36.4275,0
15,26,96.7252,85.7759,0
15,27,14.1368,35.169,0
15,28,39.3514,19.7503,0
15,29,4.51828,32.0559,0
16,20,45.628,53.8648,0
16,21,67.5492,2.89373,0
16,22,70.2223,66.1892,0
16,23,27.2144,51.704,0
16,24,15.9414,60.4357,0
16,25,0.942855,35.4368,0
16,26,96.2008,84.9244,0
16,27,13.5398,34.3668,0
16,28,38.8418,20.6107,0
16,29,3.52069,31.9865,0
17,20,44.6295,53.9208,0
17,21,66.9492,3.69372,0
17,22,69.9232,67.1435,0
17,23,26.3111,51.2749,0
17,24,15.0807,60.9447,0
17,25,0.0344001,35.2248,0
17,26,96.3609,83.9373,0
17,27,14.0011,33.4795,0
17,28,39.7605,21.0055,0
17,29,2.91959,32.7857,0
18,20,43.6311,53.9768,0
18,21,66.3492,4.49371,0
18,22,69.6241,68.0977,0
18,23,25.4079,50.8458,0
18,24,14.2199,61.4538,0
18,25,1.01165,35.0127,0
18,26,96.5209,82.9502,0
18,27,14.4623,32.5922,0
18,28,40.6793,21.4003,0
18,29,2.31848,33.5849,0
19,20,42.9299,53.2638,0
19,21,65.9749,5.42104,0
19,22,69.3565,67.1342,0
19,23,26.3338,50.4683,0
19,24,13.2451,61.6767,0
19,25,1.93268,35.4022,0
19,26,97.0889,82.1272,0
19,27,14.0985,31.6608,0
19,28,41.2531,20.5814,0
19,29,1.43955,34.0618,0
20,20,42.2288,52.5507,0
20,21,65.6007,6.34836,0
20,22,69.0889,66.1706,0
20,23,27.2598,50.0907,0
20,24,12.2703,61.8997,0
20,25,2.8537,35.7917,0
20,26,97.6569,81.3041,0
20,27,13.7347,30.7293,0
20,28,41.827,19.7624,0
20,29,0.560616,34.5388,0
21,20,41.5359,53.2718,0
21,21,64.7199,5.87479,0
21,22,69.8872,65.5683,0
21,23,27.9952,49.4131,0
21,24,12.0293,62.8702,0
21,25,2.27877,36.6099,0
21,26,98.5125,80.7867,0
21,27,13.0749,31.4807,0
21,28,41.4195,18.8492,0
21,29,0.656086,35.5342,0
22,20,40.843,53.9928,0
22,21,63.8392,5.40121,0
22,22,70.6855,64.966,0
22,23,28.7306,48.7354,0
22,24,11.7884,63.8408,0
22,25,1.70384,37.4281,0
22,26,99.3682,80.2692,0
22,27,12.4151,32.2322,0
22,28,41.0121,17.936,0
22,29,0.751556,36.5296,0
23,20,40.2296,54.7826,0
23,21,62.8397,5.36771,0
23,22,71.1908,65.829,0
23,23,28.2871,49.6317,0
23,24,11.3562,62.939,0
23,25,1.21715,38.3017,0
23,26,98.5873,79.6446,0
23,27,11.6709,31.5643,0
23,28,40.863,16.9472,0
23,29,0.66159,35.5337,0
24,20,39.6161,55.5723,0
24,21,61.8403,5.33422,0
24,22,71.696,66.692,0
24,23,27.8436,50.5279,0
24,24,10.9241,62.0371,0
24,25,0.730472,39.1753,0
24,26,97.8063,79.02,0
24,27,10.9266,30.8964,0
24,28,40.7139,15.9583,0
24,29,0.571624,34.5377,0
25,20,39.7518,56.5631,0
25,21,60.8665,5.10683,0
25,22,70.8357,66.1822,0
25,23,26.8509,50.4068,0
25,24,10.1955,62.7221,0
25,25,1.59323,38.6697,0
25,26,98.4866,78.2871,0
25,27,11.8098,30.4273,0
25,28,41.6588,16.2858,0
25,29,1.50625,34.1821,0
26,20,39.8874,57.5538,0
26,21,59.8927,4.87944,0
26,22,69.9754,65.6725,0
26,23,25.8583,50.2857,0
26,24,9.46696,63.4071,0
26,25,2.45599,38.164,0
26,26,99.1669,77.5542,0
26,27,12.693,29.9583,0
26,28,42.6036,16.6133,0
26,29,2.44088,33.8265,0
27,20,39.5726,58.503,0
27,21,60.8925,4.90039,0
27,22,69.2963,66.4065,0
27,23,25.0668,50.8968,0
27,24,9.04829,62.4989,0
27,25,3.06596,38.9565,0
27,26,98.2538,77.1464,0
27,27,11.7015,30.0887,0
27,28,43.4368,17.1663,0
27,29,2.95764,34.6826,0
28,20,39.2579,59.4522,0
28,21,61.8923,4.92134,0
28,22,68.6172,67.1406,0
28,23,24.2752,51.5079,0
28,24,8.62963,61.5908,0
28,25,3.67593,39.7489,0
28,26,97.3408,76.7386,0
28,27,10.71,30.219,0
28,28,44.2699,17.7194,0
28,29,3.47439,35.5387,0
29,20,38.2778,59.2536,0
29,21,62.8682,5.13945,0
29,22,69.4029,67.7593,0
29,23,23.2805,51.4051,0
29,24,7.81892,62.1762,0
29,25,4.32579,40.509,0
29,26,98.3183,76.5278,0
29,27,11.629,30.6133,0
29,28,45.2658,17.6282,0
29,29,4.19604,34.8465,0
30,20,37.2977,59.0551,0
30,21,63.8441,5.35757,0
30,22,70.1885,68.3779,0
30,23,22.2858,51.3023,0
30,24,7.0082,62.7617,0
30,25,4.97565,41.269,0
30,26,99.2958,76.3169,0
30,27,12.548,31.0076,0
30,28,46.2616,17.5371,0
30,29,4.91768,34.1542,0
31,20,36.4901,58.4654,0
31,21,63.0508,5.96636,0
31,22,69.7048,67.5027,0
31,23,21.3083,51.0915,0
31,24,6.17476,63.3143,0
31,25,5.97196,41.3548,0
31,26,99.0463,77.2853,0
31,27,13.4497,31.44,0
31,28,47.2207,17.2541,0
31,29,5.52272,33.358,0
32,20,35.6825,57.8757,0
32,21,62.2575,6.57516,0
32,22,69.221,66.6275,0
32,23,20.3308,50.8808,0
32,24,5.34132,63.8669,0
32,25,6.96827,41.4406,0
32,26,98.7968,78.2537,0
32,27,14.3513,31.8725,0
32,28,48.1799,16.9712,0
32,29,6.12775,32.5618,0
33,20,35.5776,56.8812,0
33,21,62.9224,7.32206,0
33,22,69.8811,67.3787,0
33,23,19.4059,51.2611,0
33,24,5.36651,62.8672,0
33,25,6.01349,41.1433,0
33,26,97.9601,77.706,0
33,27,14.1288,32.8474,0
33,28,48.5755,17.8896,0
33,29,5.5048,33.3441,0
34,20,35.4728,55.8867,0
34,21,63.5873,8.06895,0
34,22,70.5412,68.1299,0
34,23,18.4811,51.6414,0
34,24,5.3917,61.8675,0
34,25,5.05871,40.846,0
34,26,97.1234,77.1583,0
34,27,13.9062,33.8223,0
34,28,48.9711,18.808,0
34,29,4.88184,34.1263,0
