node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,322.602,0.369361,0.297987,0
1,322.602,0.369361,0.297987,0
2,322.602,0.369361,0.297987,0
3,322.602,0.369361,0.297987,0
4,322.602,0.369361,0.297987,0
5,322.602,0.369361,0.297987,0
6,322.602,0.369361,0.297987,0
7,322.602,0.369361,0.297987,0
8,322.602,0.369361,0.297987,0
9,322.602,0.369361,0.297987,0
10,322.602,0.369361,0.297987,0
11,322.602,0.369361,0.297987,0
12,322.602,0.369361,0.297987,0
13,322.602,0.369361,0.297987,0
14,322.602,0.369361,0.297987,0
15,322.602,0.369361,0.297987,0
16,322.602,0.369361,0.297987,0
17,322.602,0.369361,0.297987,0
18,322.602,0.369361,0.297987,0
19,322.602,0.369361,0.297987,0
20,322.602,0.369361,0.297987,0
21,322.602,0.369361,0.297987,0
22,322.602,0.369361,0.297987,0
23,322.602,0.369361,0.297987,0
24,322.602,0.369361,0.297987,0
25,322.602,0.369361,0.297987,0
26,322.602,0.369361,0.297987,0
27,322.602,0.369361,0.297987,0
28,322.602,0.369361,0.297987,0
29,322.602,0.369361,0.297987,0
30,322.602,0.369361,0.297987,0
31,322.602,0.369361,0.297987,0
32,322.602,0.369361,0.297987,0
33,322.602,0.369361,0.297987,0
34,322.602,0.369361,0.297987,0
