node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,22.3632,1.78486,1.20647,0
1,22.3632,1.78486,1.20647,0
2,22.3632,1.78486,1.20647,0
3,22.3632,1.78486,1.20647,0
4,22.3632,1.78486,1.20647,0
5,22.3632,1.78486,1.20647,0
6,22.3632,1.78486,1.20647,0
7,22.3632,1.78486,1.20647,0
8,22.3632,1.78486,1.20647,0
9,22.3632,1.78486,1.20647,0
10,22.3632,1.78486,1.20647,0
11,22.3632,1.78486,1.20647,0
12,22.3632,1.78486,1.20647,0
13,22.3632,1.78486,1.20647,0
14,22.3632,1.78486,1.20647,0
15,22.3632,1.78486,1.20647,0
16,22.3632,1.78486,1.20647,0
17,22.3632,1.78486,1.20647,0
18,22.3632,1.78486,1.20647,0
19,22.3632,1.78486,1.20647,0
20,22.3632,1.78486,1.20647,0
21,22.3632,1.78486,1.20647,0
22,22.3632,1.78486,1.20647,0
23,22.3632,1.78486,1.20647,0
24,22.3632,1.78486,1.20647,0
25,22.3632,1.78486,1.20647,0
26,22.3632,1.78486,1.20647,0
27,22.3632,1.78486,1.20647,0
28,22.3632,1.78486,1.20647,0
29,22.3632,1.78486,1.20647,0
30,22.3632,1.78486,1.20647,0
31,22.3632,1.78486,1.20647,0
