time,node_id,x,y,z
1,20,93.928,59.1565,0
1,21,14.5046,48.2974,0
1,22,97.171,48.8581,0
1,23,73.0785,88.6916,0
1,24,64.1005,77.2587,0
1,25,89.8793,59.4548,0
1,26,95.378,71.1337,0
1,27,69.1381,59.1406,0
1,28,26.9184,44.6565,0
1,29,51.3431,26.3213,0
2,20,93.9236,58.1565,0
2,21,13.515,48.4408,0
2,22,96.7644,49.7717,0
2,23,72.2134,89.1932,0
2,24,64.9168,76.6811,0
2,25,90.5948,60.1534,0
2,26,96.0235,70.3699,0
2,27,68.1408,59.0671,0
2,28,26.0323,44.193,0
2,29,52.3321,26.4693,0
3,20,93.5169,57.243,0
3,21,14.4145,48.004,0
3,22,97.7594,49.6718,0
3,23,73.2087,89.0969,0
3,24,64.1756,77.3524,0
3,25,91.4336,59.609,0
3,26,97.0147,70.5023,0
3,27,67.377,58.4217,0
3,28,26.0676,45.1924,0
3,29,51.5825,25.8073,0
4,20,93.1102,56.3294,0
4,21,15.314,47.5672,0
4,22,98.7544,49.5719,0
4,23,74.2041,89.0006,0
4,24,63.4343,78.0236,0
4,25,92.2724,59.0645,0
4,26,98.0059,70.6348,0
4,27,66.6132,57.7763,0
4,28,26.1029,46.1918,0
4,29,50.833,25.1454,0
5,20,94.0615,56.6378,0
5,21,14.3164,47.6358,0
5,22,99.7537,49.6071,0
5,23,73.2072,88.9213,0
5,24,63.759,77.0778,0
5,25,93.2608,59.2166,0
5,26,97.7237,71.5942,0
5,27,66.7599,56.7871,0
5,28,27.0446,46.5283,0
5,29,51.217,26.0687,0
6,20,95.0127,56.9461,0
6,21,13.3188,47.7043,0
6,22,99.2469,49.6423,0
6,23,72.2104,88.842,0
6,24,64.0837,76.132,0
6,25,94.2491,59.3687,0
6,26,97.4415,72.5535,0
6,27,66.9067,55.7979,0
6,28,27.9862,46.8649,0
6,29,51.601,26.992,0
7,20,95.3419,56.0019,0
7,21,12.5189,48.3045,0
7,22,98.4751,50.2781,0
7,23,72.665,87.9513,0
7,24,64.9493,76.6327,0
7,25,93.6141,60.1413,0
7,26,96.9719,71.6707,0
7,27,66.0636,56.3356,0
7,28,27.1159,46.3724,0
7,29,52.5644,27.2602,0
8,20,95.6712,55.0576,0
8,21,11.7191,48.9048,0
8,22,97.7033,50.914,0
8,23,73.1196,87.0606,0
8,24,65.8148,77.1335,0
8,25,92.9791,60.9138,0
8,26,96.5023,70.7878,0
8,27,65.2204,56.8733,0
8,28,26.2456,45.8799,0
8,29,53.5278,27.5284,0
9,20,96.6692,54.9948,0
9,21,11.6566,47.9067,0
9,22,98.0804,49.9879,0
9,23,72.6693,86.1677,0
9,24,66.4784,77.8817,0
9,25,93.3428,59.9822,0
9,26,96.6545,69.7995,0
9,27,64.3333,57.3348,0
9,28,26.0904,44.892,0
9,29,52.7237,28.123,0
10,20,97.6672,54.9319,0
10,21,11.5941,46.9087,0
10,22,98.4576,49.0617,0
10,23,72.219,85.2748,0
10,24,67.1419,78.6298,0
10,25,93.7064,59.0507,0
10,26,96.8067,68.8111,0
10,27,63.4462,57.7964,0
10,28,25.9351,43.9041,0
10,29,51.9197,28.7176,0
11,20,96.9586,54.2263,0
