node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,431.865,0.44192,0.217936,0
1,431.865,0.44192,0.217936,0
2,431.865,0.44192,0.217936,0
3,431.865,0.44192,0.217936,0
4,431.865,0.44192,0.217936,0
5,431.865,0.44192,0.217936,0
6,431.865,0.44192,0.217936,0
7,431.865,0.44192,0.217936,0
8,431.865,0.44192,0.217936,0
9,431.865,0.44192,0.217936,0
10,431.865,0.44192,0.217936,0
11,431.865,0.44192,0.217936,0
12,431.865,0.44192,0.217936,0
13,431.865,0.44192,0.217936,0
14,431.865,0.44192,0.217936,0
15,431.865,0.44192,0.217936,0
16,431.865,0.44192,0.217936,0
17,431.865,0.44192,0.217936,0
18,431.865,0.44192,0.217936,0
19,431.865,0.44192,0.217936,0
20,431.865,0.44192,0.217936,0
21,431.865,0.44192,0.217936,0
22,431.865,0.44192,0.217936,0
23,431.865,0.44192,0.217936,0
24,431.865,0.44192,0.217936,0
25,431.865,0.44192,0.217936,0
26,431.865,0.44192,0.217936,0
27,431.865,0.44192,0.217936,0
28,431.865,0.44192,0.217936,0
29,431.865,0.44192,0.217936,0
30,431.865,0.44192,0.217936,0
31,431.865,0.44192,0.217936,0
