time,node_id,x,y,z
1,20,2.09681,55.0616,0
1,21,84.5643,56.2378,0
1,22,46.5173,96.3677,0
1,23,52.4093,38.6277,0
1,24,82.2047,81.5825,0
1,25,73.1366,8.05944,0
1,26,45.051,34.0288,0
1,27,72.1605,44.5508,0
1,28,52.8376,9.74537,0
1,29,28.207,5.43755,0
2,20,3.0778,54.8676,0
2,21,83.9438,55.4536,0
2,22,46.0499,95.4837,0
2,23,53.3331,38.2447,0
2,24,81.7291,80.7028,0
2,25,72.2275,8.47599,0
2,26,44.5622,33.1564,0
2,27,72.1338,43.5511,0
2,28,53.8225,9.91876,0
2,29,27.276,5.07264,0
3,20,2.70939,53.938,0
3,21,83.5708,54.5258,0
3,22,45.0911,95.1995,0
3,23,53.2604,39.2421,0
3,24,81.9442,79.7263,0
3,25,72.714,7.60231,0
3,26,43.8277,32.4778,0
3,27,72.466,44.4943,0
3,28,53.6105,8.94149,0
3,29,26.4121,4.56885,0
4,20,2.34098,53.0083,0
4,21,83.1977,53.598,0
4,22,44.1323,94.9153,0
4,23,53.1878,40.2395,0
4,24,82.1594,78.7497,0
4,25,73.2005,6.72863,0
4,26,43.0932,31.7991,0
4,27,72.7982,45.4375,0
4,28,53.3985,7.96421,0
4,29,25.5483,4.06506,0
5,20,1.46978,52.5174,0
5,21,83.316,54.5909,0
5,22,43.8809,95.8832,0
5,23,54.0185,39.6828,0
5,24,83.0172,79.2635,0
5,25,74.1833,6.54415,0
5,26,43.0127,30.8024,0
5,27,73.4713,44.6979,0
5,28,52.9533,8.85962,0
5,29,26.5374,4.21247,0
6,20,0.59857,52.0265,0
6,21,83.4343,55.5839,0
6,22,43.6294,96.8511,0
6,23,54.8492,39.1261,0
6,24,83.8751,79.7774,0
6,25,75.1662,6.35967,0
6,26,42.9322,29.8056,0
6,27,74.1444,43.9584,0
6,28,52.508,9.75503,0
6,29,27.5265,4.35989,0
7,20,1.12188,52.8786,0
7,21,83.7619,54.6391,0
7,22,44.6224,96.7331,0
7,23,54.7259,40.1184,0
7,24,84.7326,79.2629,0
7,25,75.9532,6.97654,0
7,26,42.8663,30.8035,0
7,27,73.6783,44.8431,0
7,28,51.6792,10.3145,0
7,29,27.3257,5.33953,0
8,20,1.6452,53.7307,0
8,21,84.0895,53.6943,0
8,22,45.6155,96.6151,0
8,23,54.6025,41.1108,0
8,24,85.5901,78.7484,0
8,25,76.7403,7.5934,0
8,26,42.8004,31.8013,0
8,27,73.2123,45.7279,0
8,28,50.8503,10.874,0
8,29,27.1249,6.31917,0
9,20,1.55127,52.7352,0
9,21,83.4139,54.4316,0
9,22,46.4141,97.2168,0
9,23,54.3547,42.0796,0
9,24,86.1461,79.5796,0
9,25,77.736,7.68621,0
