time,node_id,x,y,z
1,20,55.5874,3.28027,0
1,21,20.1757,12.4456,0
1,22,22.2791,21.098,0
1,23,39.9355,13.4734,0
1,24,91.4384,34.4321,0
1,25,65.629,81.5727,0
1,26,70.0446,15.9651,0
1,27,72.562,89.4777,0
1,28,13.8564,92.7978,0
1,29,68.9971,44.7328,0
2,20,56.4675,3.75501,0
2,21,20.3218,13.4349,0
2,22,22.8697,20.291,0
2,23,39.6146,12.5263,0
2,24,90.499,34.0894,0
2,25,64.7711,81.0589,0
2,26,69.1458,15.5267,0
2,27,71.9113,90.237,0
2,28,13.8359,93.7976,0
2,29,69.4642,43.8486,0
3,20,56.1185,2.8179,0
3,21,21.2274,13.859,0
3,22,22.406,21.177,0
3,23,38.8055,13.114,0
3,24,89.5032,34.1815,0
3,25,65.0326,80.0937,0
3,26,70.0145,15.0312,0
3,27,70.914,90.3103,0
3,28,14.7904,93.4995,0
3,29,68.5554,43.4315,0
4,20,55.7695,1.88079,0
4,21,22.133,14.2831,0
4,22,21.9422,22.0629,0
4,23,37.9963,13.7016,0
4,24,88.5074,34.2735,0
4,25,65.2941,79.1285,0
4,26,70.8831,14.5357,0
4,27,69.9167,90.3837,0
4,28,15.745,93.2013,0
4,29,67.6465,43.0144,0
5,20,55.1942,2.69874,0
5,21,21.3321,13.6844,0
5,22,22.8545,21.6536,0
5,23,37.1975,13.1,0
5,24,88.6482,35.2636,0
5,25,64.3563,79.4758,0
5,26,69.9177,14.7966,0
5,27,69.0573,90.8951,0
5,28,16.7101,92.9396,0
5,29,66.7129,43.3727,0
6,20,54.6189,3.51669,0
6,21,20.5311,13.0857,0
6,22,23.7669,21.2442,0
6,23,36.3988,12.4984,0
6,24,88.7889,36.2536,0
6,25,63.4186,79.8231,0
6,26,68.9523,15.0575,0
6,27,68.198,91.4065,0
6,28,17.6752,92.6778,0
6,29,65.7793,43.7309,0
7,20,55.1644,2.67857,0
7,21,21.5304,13.1228,0
7,22,23.9333,20.2581,0
7,23,35.4,12.5488,0
7,24,89.2665,35.375,0
7,25,64.4098,79.6911,0
7,26,68.0107,14.7208,0
7,27,68.4218,90.4319,0
7,28,18.0855,91.7658,0
7,29,64.9642,44.3103,0
8,20,55.7098,1.84045,0
8,21,22.5297,13.16,0
8,22,24.0997,19.2721,0
8,23,34.4013,12.5992,0
8,24,89.7441,34.4965,0
