node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,5.11117,1.47852,0.99413,0
1,5.11117,1.47852,0.99413,0
2,5.11117,1.47852,0.99413,0
3,5.11117,1.47852,0.99413,0
4,5.11117,1.47852,0.99413,0
5,5.11117,1.47852,0.99413,0
6,5.11117,1.47852,0.99413,0
7,5.11117,1.47852,0.99413,0
8,5.11117,1.47852,0.99413,0
9,5.11117,1.47852,0.99413,0
10,5.11117,1.47852,0.99413,0
11,5.11117,1.47852,0.99413,0
12,5.11117,1.47852,0.99413,0
13,5.11117,1.47852,0.99413,0
14,5.11117,1.47852,0.99413,0
15,5.11117,1.47852,0.99413,0
16,5.11117,1.47852,0.99413,0
17,5.11117,1.47852,0.99413,0
18,5.11117,1.47852,0.99413,0
19,5.11117,1.47852,0.99413,0
20,5.11117,1.47852,0.99413,0
21,5.11117,1.47852,0.99413,0
22,5.11117,1.47852,0.99413,0
23,5.11117,1.47852,0.99413,0
24,5.11117,1.47852,0.99413,0
25,5.11117,1.47852,0.99413,0
26,5.11117,1.47852,0.99413,0
27,5.11117,1.47852,0.99413,0
28,5.11117,1.47852,0.99413,0
29,5.11117,1.47852,0.99413,0
