time,node_id,x,y,z
1,20,4.29948,46.454,0
1,21,85.5614,23.8197,0
1,22,75.0344,91.1088,0
1,23,84.0654,41.7516,0
1,24,13.1344,30.9981,0
1,25,38.2229,31.2076,0
1,26,47.4677,26.5561,0
1,27,82.4529,7.99097,0
1,28,87.7978,66.4021,0
1,29,90.0017,76.4489,0
2,20,3.30374,46.5462,0
2,21,86.1419,23.0054,0
2,22,75.911,91.5901,0
2,23,84.1769,42.7453,0
2,24,12.2961,30.4529,0
2,25,38.4405,30.2315,0
2,26,46.5218,26.2319,0
2,27,83.4339,7.79694,0
2,28,87.1774,65.6178,0
2,29,89.5343,75.5649,0
3,20,4.14673,46.0083,0
3,21,85.7438,22.088,0
3,22,76.525,90.8008,0
3,23,83.8849,43.7017,0
3,24,13.2837,30.6095,0
3,25,37.4701,30.4732,0
3,26,45.6175,25.8048,0
3,27,83.0655,6.86728,0
3,28,86.8043,64.69,0
3,29,88.5755,75.2807,0
4,20,4.98971,45.4704,0
4,21,85.3458,21.1707,0
4,22,77.1391,90.0115,0
4,23,83.5928,44.6581,0
4,24,14.2714,30.7662,0
4,25,36.4997,30.7148,0
4,26,44.7133,25.3778,0
4,27,82.6971,5.93761,0
4,28,86.4312,63.7622,0
4,29,87.6168,74.9965,0
5,20,3.98973,45.464,0
5,21,84.3711,20.9472,0
5,22,77.6846,89.1734,0
5,23,83.95,45.5922,0
5,24,13.4937,30.1375,0
5,25,35.5529,31.0365,0
5,26,45.6984,25.206,0
5,27,81.8259,5.44669,0
5,28,86.5495,64.7552,0
5,29,87.3653,75.9644,0
6,20,2.98975,45.4576,0
6,21,83.3964,20.7238,0
6,22,78.23,88.3352,0
6,23,84.3073,46.5262,0
6,24,12.716,29.5088,0
6,25,34.606,31.3582,0
6,26,46.6836,25.0342,0
6,27,80.9547,4.95578,0
6,28,86.6678,65.7482,0
6,29,87.1139,76.9322,0
7,20,3.90282,45.0498,0
7,21,82.4275,20.4763,0
7,22,77.2609,88.5819,0
7,23,84.7793,45.6446,0
7,24,11.9214,28.9017,0
7,25,34.796,30.3764,0
7,26,45.9126,25.6711,0
7,27,81.478,5.80792,0
7,28,86.9954,64.8034,0
7,29,88.1069,76.8142,0
8,20,4.81589,44.642,0
8,21,81.4586,20.2289,0
8,22,76.2918,88.8286,0
8,23,85.2512,44.763,0
8,24,11.1268,28.2946,0
8,25,34.9859,29.3946,0
8,26,45.1417,26.308,0
8,27,82.0013,6.66006,0
8,28,87.323,63.8586,0
8,29,89.0999,76.6962,0
9,20,5.30176,43.768,0
9,21,80.4818,20.0144,0
9,22,76.1136,89.8126,0
9,23,84.7835,45.6468,0
9,24,10.1269,28.305,0
9,25,35.1059,28.4018,0
9,26,45.5935,25.4159,0
9,27,81.9074,5.66448,0
9,28,86.6475,64.5958,0
9,29,89.8986,77.298,0
10,20,5.78763,42.8939,0
10,21,79.5051,19.7999,0
10,22,75.9354,90.7966,0
10,23,84.3158,46.5307,0
10,24,9.12693,28.3153,0
10,25,35.2259,27.4091,0
10,26,46.0454,24.5238,0
10,27,81.8135,4.6689,0
10,28,85.9719,65.3331,0
10,29,90.6973,77.8997,0
11,20,4.90685,42.4204,0
11,21,78.5186,19.6361,0
11,22,74.9358,90.825,0
11,23,85.2168,46.9645,0
11,24,8.31173,28.8945,0
11,25,34.7554,28.2915,0
11,26,46.9323,24.9858,0
11,27,82.509,3.9504,0
11,28,86.4087,66.2327,0
11,29,91.6377,78.2396,0
12,20,4.02607,41.9469,0
12,21,77.5321,19.4724,0
12,22,73.9362,90.8535,0
12,23,86.1178,47.3982,0
12,24,7.49653,29.4737,0
12,25,34.2849,29.1739,0
12,26,47.8192,25.4478,0
12,27,83.2045,3.2319,0
12,28,86.8455,67.1322,0
