time,node_id,x,y,z
1,20,3.17305,79.5589,0
1,21,27.5372,26.2532,0
1,22,87.4702,14.4291,0
1,23,38.3312,52.2711,0
1,24,57.9875,1.28718,0
1,25,31.9185,53.8836,0
1,26,2.90109,36.9873,0
1,27,26.1123,60.0056,0
1,28,70.5551,35.5932,0
1,29,47.8115,15.0632,0
2,20,3.91868,78.8926,0
2,21,28.252,25.554,0
2,22,87.0394,13.5267,0
2,23,38.6967,53.2019,0
2,24,58.22,0.314583,0
2,25,32.8274,53.4667,0
2,26,3.35466,37.8785,0
2,27,25.2364,60.4881,0
2,28,70.4144,34.6031,0
2,29,48.0158,14.0843,0
3,20,4.54272,78.1112,0
3,21,29.1717,25.1613,0
3,22,87.5513,12.6677,0
3,23,39.6642,52.9492,0
3,24,59.2085,0.465813,0
3,25,33.3564,52.618,0
3,26,3.93488,37.0641,0
3,27,24.7736,59.6016,0
3,28,70.6411,33.6292,0
3,29,47.3852,13.3082,0
4,20,5.16677,77.3298,0
4,21,30.0914,24.7686,0
4,22,88.0633,11.8087,0
4,23,40.6318,52.6964,0
4,24,60.197,0.617042,0
4,25,33.8853,51.7693,0
4,26,4.51511,36.2496,0
4,27,24.3109,58.7151,0
4,28,70.8678,32.6552,0
4,29,46.7546,12.5321,0
5,20,5.40297,76.3581,0
5,21,31.0861,24.666,0
5,22,88.7131,12.5689,0
5,23,41.4517,53.2689,0
5,24,59.738,0.271397,0
5,25,34.882,51.688,0
5,26,4.45135,35.2517,0
5,27,24.3249,57.7152,0
5,28,70.1563,33.3579,0
5,29,47.6359,13.0046,0
6,20,5.63917,75.3864,0
6,21,32.0808,24.5635,0
6,22,89.3628,13.329,0
6,23,42.2716,53.8414,0
6,24,59.279,1.15984,0
6,25,35.8786,51.6066,0
6,26,4.3876,34.2537,0
6,27,24.339,56.7153,0
6,28,69.4448,34.0605,0
6,29,48.5172,13.4771,0
7,20,4.88266,74.7324,0
7,21,32.7646,23.8338,0
7,22,89.7881,12.424,0
7,23,43.0511,53.2149,0
7,24,59.1699,0.165803,0
7,25,36.8242,51.9322,0
7,26,3.65689,33.571,0
7,27,24.4328,55.7197,0
7,28,69.6884,33.0907,0
7,29,49.5169,13.5025,0
8,20,4.12616,74.0784,0
8,21,33.4484,23.1041,0
8,22,90.2134,11.5189,0
8,23,43.8305,52.5884,0
8,24,59.0608,0.828229,0
8,25,37.7697,52.2577,0
8,26,2.92619,32.8883,0
8,27,24.5266,54.7241,0
8,28,69.932,32.1208,0
8,29,50.5166,13.5279,0
9,20,4.01312,75.072,0
9,21,33.0789,22.1748,0
9,22,89.7268,10.6453,0
9,23,44.1642,51.6457,0
9,24,58.3387,0.136424,0
9,25,37.5645,51.279,0
9,26,3.18112,33.8553,0
9,27,23.831,55.4426,0
9,28,70.2293,31.166,0
9,29,51.2225,12.8196,0
10,20,3.90007,76.0656,0
10,21,32.7094,21.2456,0
10,22,89.2403,9.77161,0
10,23,44.4979,50.703,0
10,24,57.6166,0.555381,0
10,25,37.3592,50.3003,0
10,26,3.43606,34.8222,0
10,27,23.1354,56.161,0
10,28,70.5266,30.2112,0
10,29,51.9284,12.1113,0
11,20,3.29848,75.2668,0
11,21,32.9736,22.2101,0
11,22,88.5143,9.08386,0
11,23,44.798,51.657,0
11,24,56.9332,0.174606,0
11,25,37.0137,49.3618,0
11,26,2.82684,35.6152,0
11,27,23.1165,57.1608,0
11,28,71.4043,29.732,0
11,29,51.3361,12.917,0
12,20,2.69689,74.468,0
12,21,33.2378,23.1745,0
12,22,87.7884,8.39611,0
12,23,45.098,52.6109,0
12,24,56.2497,0.904593,0
12,25,36.6683,48.4234,0
12,26,2.21762,36.4082,0
12,27,23.0976,58.1607,0
12,28,72.282,29.2528,0
12,29,50.7439,13.7228,0
13,20,2.1042,73.6626,0
13,21,33.7394,24.0396,0
13,22,86.7973,8.52914,0
13,23,45.9038,53.203,0
13,24,57.0731,1.47204,0
13,25,35.7541,48.0181,0
13,26,2.06797,37.397,0
13,27,24.0407,57.8282,0
13,28,72.8098,30.1022,0
13,29,49.7589,13.5501,0
14,20,1.5115,72.8571,0
14,21,34.241,24.9047,0
14,22,85.8062,8.66217,0
14,23,46.7097,53.7952,0
14,24,57.8965,2.03948,0
14,25,34.8399,47.6128,0
14,26,1.91833,38.3857,0
14,27,24.9838,57.4957,0
14,28,73.3375,30.9516,0
14,29,48.7739,13.3774,0
15,20,1.03433,71.9783,0
15,21,34.8555,25.6937,0
15,22,86.7973,8.79525,0
15,23,45.7098,53.7828,0
15,24,58.6513,2.6955,0
15,25,34.7275,48.6065,0
15,26,1.62671,39.3422,0
15,27,25.9688,57.6678,0
15,28,72.3383,30.9906,0
15,29,48.4854,12.4199,0
16,20,0.557166,71.0995,0
16,21,35.4699,26.4826,0
16,22,87.7884,8.92833,0
16,23,44.7098,53.7704,0
16,24,59.406,3.35151,0
16,25,34.6151,49.6001,0
16,26,1.33509,40.2988,0
16,27,26.9539,57.8398,0
16,28,71.3391,31.0297,0
16,29,48.1968,11.4625,0
17,20,0.893085,72.0414,0
17,21,36.1484,27.2173,0
17,22,88.7346,9.25174,0
17,23,45.4026,54.4916,0
17,24,59.1247,4.31113,0
17,25,35.1839,50.4226,0
17,26,2.3303,40.2011,0
17,27,26.0636,57.3846,0
17,28,72.1921,30.5078,0
17,29,47.3967,10.8626,0
18,20,1.22901,72.9833,0
18,21,36.8268,27.9519,0
18,22,89.6809,9.57515,0
18,23,46.0953,55.2128,0
18,24,58.8434,5.27074,0
18,25,35.7527,51.2451,0
18,26,3.32552,40.1033,0
18,27,25.1732,56.9293,0
18,28,73.0451,29.986,0
18,29,46.5967,10.2627,0
19,20,1.01098,72.0073,0
19,21,36.0643,28.5989,0
19,22,88.9331,8.91118,0
19,23,47.0922,55.2917,0
19,24,58.1183,5.95937,0
19,25,35.6526,52.2401,0
19,26,4.23745,40.5137,0
19,27,26.0103,57.4764,0
19,28,73.6581,30.776,0
19,29,46.1663,11.1653,0
20,20,0.792962,71.0314,0
20,21,35.3017,29.2458,0
20,22,88.1854,8.2472,0
20,23,48.0891,55.3706,0
20,24,57.3932,6.64801,0
20,25,35.5526,53.235,0
20,26,5.14938,40.924,0
20,27,26.8473,58.0235,0
20,28,74.2711,31.5661,0
20,29,45.7359,12.068,0
21,20,1.42383,70.2555,0
21,21,34.9071,28.327,0
21,22,89.1543,7.99975,0
21,23,47.2264,55.8764,0
21,24,56.5716,6.07788,0
21,25,34.5943,52.9493,0
21,26,4.576,40.1047,0
21,27,26.6338,57.0466,0
21,28,74.1957,32.5632,0
21,29,46.5725,12.6159,0
22,20,2.0547,69.4796,0
22,21,34.5124,27.4081,0
22,22,90.1232,7.7523,0
22,23,46.3638,56.3823,0
22,24,55.7501,5.50776,0
22,25,33.6359,52.6636,0
22,26,4.00262,39.2855,0
22,27,26.4203,56.0697,0
22,28,74.1203,33.5604,0
22,29,47.409,13.1638,0
23,20,1.06633,69.6317,0
23,21,35.2399,26.722,0
23,22,89.1283,7.65175,0
23,23,46.8576,55.5127,0
23,24,55.5438,6.48626,0
23,25,34.5837,52.3446,0
23,26,3.47303,40.1337,0
23,27,27.1521,55.3882,0
23,28,74.6728,34.3939,0
23,29,47.1613,14.1326,0
24,20,0.0779654,69.7838,0
24,21,35.9674,26.0359,0
24,22,88.1333,7.55119,0
24,23,47.3513,54.6431,0
24,24,55.3376,7.46476,0
24,25,35.5314,52.0255,0
24,26,2.94344,40.982,0
24,27,27.884,54.7067,0
24,28,75.2253,35.2274,0
24,29,46.9136,15.1014,0
25,20,1.07736,69.749,0
25,21,35.2404,26.7225,0
25,22,87.8177,6.60231,0
25,23,46.5276,55.2101,0
25,24,54.7587,6.64934,0
25,25,34.5967,51.6702,0
25,26,3.10429,39.995,0
25,27,28.6084,55.396,0
25,28,75.9362,35.9307,0
25,29,47.4313,14.2459,0
26,20,2.07676,69.7143,0
26,21,34.5133,27.409,0
26,22,87.502,5.65343,0
26,23,45.7039,55.7771,0
26,24,54.1798,5.83392,0
26,25,33.6619,51.3149,0
26,26,3.26515,39.008,0
26,27,29.3329,56.0853,0
26,28,76.6471,36.634,0
26,29,47.9491,13.3904,0
27,20,2.43497,70.6479,0
27,21,33.8412,26.6686,0
27,22,88.4417,5.31141,0
27,23,45.5232,54.7936,0
27,24,55.0929,6.24184,0
27,25,32.984,50.5798,0
27,26,2.61503,39.7678,0
27,27,30.2435,55.672,0
27,28,75.8241,36.0659,0
27,29,47.2736,12.653,0
28,20,2.79319,71.5816,0
28,21,33.1691,25.9281,0
28,22,89.3814,4.96939,0
28,23,45.3424,53.81,0
28,24,56.0059,6.64977,0
28,25,32.306,49.8447,0
28,26,1.96491,40.5277,0
28,27,31.1541,55.2587,0
28,28,75.0012,35.4978,0
28,29,46.5982,11.9156,0
29,20,3.71857,71.2026,0
29,21,34.1656,26.0122,0
29,22,89.7762,5.88814,0
29,23,45.9843,54.5768,0
29,24,56.564,7.47951,0
29,25,31.8143,48.9739,0
29,26,1.57233,39.6079,0
29,27,31.8116,54.5053,0
29,28,74.6967,34.5453,0
29,29,47.5781,11.7159,0
30,20,4.64396,70.8235,0
30,21,35.162,26.0964,0
30,22,90.1711,6.8069,0
30,23,46.6262,55.3436,0
30,24,57.1222,8.30925,0
30,25,31.3225,48.1032,0
30,26,1.17975,38.6882,0
30,27,32.4692,53.7519,0
30,28,74.3922,33.5928,0
30,29,48.5579,11.5163,0
31,20,3.9551,71.5484,0
31,21,34.6259,26.9405,0
31,22,91.0365,7.308,0
31,23,47.6043,55.552,0
31,24,57.6634,7.46838,0
31,25,31.9602,47.3329,0
31,26,1.82588,37.925,0
31,27,33.4221,53.4488,0
31,28,74.3497,34.5919,0
31,29,49.4924,11.1603,0
32,20,3.26623,72.2733,0
32,21,34.0899,27.7847,0
32,22,91.9019,7.80909,0
32,23,48.5823,55.7604,0
32,24,58.2047,6.62751,0
32,25,32.5978,46.5626,0
32,26,2.47202,37.1618,0
32,27,34.3751,53.1456,0
32,28,74.3072,35.5909,0
32,29,50.4269,10.8043,0
33,20,3.83376,73.0967,0
33,21,33.1096,27.9821,0
33,22,92.3717,8.69185,0
33,23,49.3982,55.1821,0
33,24,58.3859,5.64407,0
33,25,31.7227,47.0465,0
33,26,2.17818,36.2059,0
33,27,34.1685,52.1672,0
33,28,73.3278,35.3886,0
33,29,49.6309,11.4096,0
34,20,4.40129,73.92,0
34,21,32.1292,28.1796,0
34,22,92.8415,9.5746,0
34,23,50.2141,54.6039,0
34,24,58.5671,4.66063,0
34,25,30.8476,47.5304,0
34,26,1.88435,35.2501,0
34,27,33.9618,51.1888,0
34,28,72.3485,35.1863,0
34,29,48.8349,12.015,0
35,20,3.42388,73.7087,0
35,21,31.4533,27.4426,0
35,22,93.7613,9.18204,0
35,23,51.1913,54.3917,0
35,24,58.1926,5.58786,0
35,25,30.2294,46.7444,0
35,26,1.11319,34.6134,0
35,27,33.2326,51.873,0
35,28,71.9132,36.0866,0
35,29,49.8304,12.11,0
36,20,2.44648,73.4973,0
36,21,30.7773,26.7057,0
36,22,94.681,8.78947,0
36,23,52.1685,54.1794,0
36,24,57.8181,6.51509,0
36,25,29.6111,45.9584,0
36,26,0.342028,33.9768,0
36,27,32.5033,52.5573,0
36,28,71.4779,36.9869,0
36,29,50.8259,12.205,0
37,20,1.55714,73.9545,0
37,21,31.1011,27.6519,0
37,22,94.4919,9.77144,0
37,23,52.5516,55.1032,0
37,24,58.674,7.0323,0
37,25,30.2294,45.1724,0
37,26,0.642303,33.8005,0
37,27,32.0263,53.4362,0
37,28,71.0168,36.0995,0
37,29,49.945,12.6783,0
38,20,0.667799,74.4118,0
38,21,31.4248,28.598,0
38,22,94.3029,10.7534,0
38,23,52.9347,56.0269,0
38,24,59.5298,7.54951,0
38,25,30.8476,44.3864,0
38,26,1.62663,33.6241,0
38,27,31.5492,54.315,0
38,28,70.5557,35.2122,0
38,29,49.064,13.1515,0
39,20,1.29036,73.6292,0
39,21,32.0254,27.7984,0
39,22,95.1341,10.1974,0
39,23,52.6777,56.9933,0
39,24,58.8859,8.31456,0
39,25,30.8279,43.3866,0
39,26,1.8913,34.5885,0
39,27,32.0411,55.1857,0
39,28,71.5371,35.0201,0
39,29,49.9671,13.581,0
40,20,1.91293,72.8466,0
40,21,32.626,26.9989,0
40,22,95.9653,9.64147,0
40,23,52.4208,57.9597,0
40,24,58.2419,9.0796,0
40,25,30.8083,42.3868,0
40,26,2.15596,35.5528,0
40,27,32.5329,56.0564,0
40,28,72.5185,34.8279,0
40,29,50.8702,14.0104,0
41,20,0.930569,73.0336,0
41,21,32.5589,27.9966,0
41,22,96.7793,9.06061,0
41,23,51.4209,57.9691,0
41,24,58.2505,8.07964,0
41,25,31.2749,43.2713,0
41,26,1.99729,36.5401,0
41,27,32.4781,55.0579,0
41,28,72.7427,35.8025,0
41,29,51.8163,13.6865,0
42,20,0.0517892,73.2206,0
42,21,32.4918,28.9944,0
42,22,97.5933,8.47975,0
42,23,50.4209,57.9784,0
42,24,58.2591,7.07968,0
42,25,31.7415,44.1557,0
42,26,1.83861,37.5275,0
42,27,32.4232,54.0594,0
42,28,72.9669,36.777,0
42,29,52.7624,13.3626,0
43,20,0.794428,72.6878,0
43,21,31.8332,28.2419,0
43,22,98.4054,7.89629,0
43,23,49.6115,58.5657,0
43,24,57.4565,6.48314,0
43,25,30.8275,43.7502,0
43,26,2.64768,38.1152,0
43,27,31.727,53.3417,0
43,28,72.1637,36.1812,0
43,29,53.7501,13.2062,0
44,20,1.64065,72.155,0
44,21,31.1746,27.4894,0
44,22,99.2176,7.31283,0
44,23,48.8021,59.153,0
44,24,56.6539,5.8866,0
44,25,29.9134,43.3446,0
44,26,3.45676,38.7029,0
44,27,31.0307,52.6239,0
44,28,71.3606,35.5854,0
44,29,54.7378,13.0497,0
45,20,2.5298,72.6126,0
45,21,31.9525,28.1178,0
45,22,98.9556,8.27791,0
45,23,49.5333,59.8352,0
45,24,55.7616,5.43523,0
45,25,28.9398,43.1162,0
45,26,4.01745,39.5309,0
45,27,31.7702,51.9507,0
45,28,72.3555,35.485,0
45,29,53.8004,12.7014,0
46,20,3.41895,73.0702,0
46,21,32.7304,28.7462,0
46,22,98.6936,9.24298,0
46,23,50.2645,60.5174,0
46,24,54.8692,4.98386,0
46,25,27.9663,42.8878,0
46,26,4.57814,40.3589,0
46,27,32.5096,51.2775,0
46,28,73.3505,35.3845,0
46,29,52.863,12.353,0
47,20,3.47285,74.0687,0
47,21,33.7267,28.6597,0
47,22,98.855,8.25609,0
47,23,51.2195,60.2208,0
47,24,53.9421,5.35863,0
47,25,27.0367,43.2565,0
47,26,5.01972,39.4617,0
47,27,33.4354,51.6557,0
47,28,72.7872,36.2107,0
47,29,53.786,12.738,0
48,20,3.52674,75.0673,0
48,21,34.7229,28.5732,0
48,22,99.0164,7.2692,0
48,23,52.1745,59.9242,0
48,24,53.015,5.73341,0
48,25,26.1071,43.6251,0
48,26,5.4613,38.5645,0
48,27,34.3611,52.0339,0
48,28,72.2239,37.037,0
48,29,54.7089,13.1229,0
49,20,2.72203,74.4736,0
49,21,35.4057,27.8426,0
49,22,99.9654,7.58466,0
