time,node_id,x,y,z
1,20,24.2842,7.38484,0
1,21,9.5792,65.1626,0
1,22,61.4756,65.8211,0
1,23,55.5791,26.4834,0
1,24,0.121265,14.905,0
1,25,92.8223,45.6231,0
1,26,61.5366,53.1219,0
1,27,48.142,18.2194,0
1,28,38.5708,48.2064,0
1,29,85.3959,81.3238,0
2,20,24.9936,8.0896,0
2,21,9.07276,64.3003,0
2,22,60.5471,66.1926,0
2,23,54.7973,25.8599,0
2,24,0.484249,15.8368,0
2,25,91.8368,45.7926,0
2,26,62.2389,53.8337,0
2,27,47.5021,17.4509,0
2,28,39.3568,47.5881,0
2,29,86.0397,82.089,0
3,20,24.003,8.22619,0
3,21,8.15401,64.6952,0
3,22,61.5102,66.4621,0
3,23,55.6263,26.4192,0
3,24,0.935485,14.9444,0
3,25,92.5979,45.144,0
3,26,63.1621,53.4492,0
3,27,47.0765,16.546,0
3,28,38.401,47.294,0
3,29,86.3296,83.046,0
4,20,23.0124,8.36278,0
4,21,7.23526,65.09,0
4,22,62.4732,66.7315,0
4,23,56.4552,26.9785,0
4,24,1.38672,14.052,0
4,25,93.3591,44.4954,0
4,26,64.0852,53.0648,0
4,27,46.651,15.6411,0
4,28,37.4452,47,0
4,29,86.6195,84.0031,0
5,20,22.5482,7.47703,0
5,21,8.23486,65.1185,0
5,22,61.5993,67.2177,0
5,23,57.3728,26.5811,0
5,24,1.4009,15.0519,0
5,25,92.6683,45.2184,0
5,26,64.1924,54.059,0
5,27,46.4389,16.6183,0
5,28,38.1825,47.6755,0
5,29,85.9668,84.7607,0
6,20,22.0841,6.59128,0
6,21,9.23445,65.147,0
6,22,60.7255,67.7038,0
6,23,58.2905,26.1836,0
6,24,1.41508,16.0518,0
6,25,91.9774,45.9415,0
6,26,64.2995,55.0533,0
6,27,46.2269,17.5956,0
6,28,38.9198,48.3511,0
6,29,85.3141,85.5184,0
7,20,22.0296,5.59276,0
7,21,8.71027,65.9986,0
7,22,60.5623,68.6904,0
7,23,58.9595,25.4404,0
7,24,2.14875,15.3723,0
7,25,91.9386,44.9422,0
7,26,64.9941,55.7727,0
7,27,46.9388,18.2979,0
7,28,39.26,49.2914,0
7,29,84.4867,84.9568,0
8,20,21.9752,4.59424,0
8,21,8.18609,66.8502,0
8,22,60.3992,69.6771,0
8,23,59.6285,24.6971,0
8,24,2.88242,14.6928,0
8,25,91.8998,43.943,0
8,26,65.6886,56.4922,0
8,27,47.6507,19.0001,0
8,28,39.6002,50.2318,0
8,29,83.6592,84.3953,0
9,20,22.758,3.97202,0
9,21,8.32621,67.8403,0
9,22,59.4024,69.5962,0
9,23,60.0168,23.7756,0
9,24,3.02206,13.7026,0
9,25,90.9281,43.707,0
9,26,65.6558,57.4916,0
9,27,48.3905,19.673,0
9,28,38.7062,50.6799,0
9,29,84.1631,85.259,0
10,20,23.5408,3.34979,0
10,21,8.46632,68.8305,0
10,22,58.4057,69.5153,0
10,23,60.4052,22.8541,0
10,24,3.16169,12.7124,0
10,25,89.9563,43.471,0
10,26,65.6229,58.4911,0
10,27,49.1302,20.3458,0
10,28,37.8123,51.128,0
10,29,84.667,86.1228,0
11,20,23.9653,2.44433,0
11,21,9.38392,68.433,0
11,22,58.8841,70.3934,0
11,23,60.9957,23.6612,0
11,24,4.0887,12.3373,0
11,25,89.0005,43.1769,0
11,26,66.1752,57.6574,0
11,27,48.1303,20.341,0
11,28,37.978,52.1142,0
11,29,83.7554,86.5337,0
12,20,24.3897,1.53887,0
12,21,10.3015,68.0354,0
12,22,59.3625,71.2716,0
12,23,61.5862,24.4682,0
12,24,5.01571,11.9623,0
12,25,88.0447,42.8829,0
12,26,66.7275,56.8238,0
12,27,47.1303,20.3361,0
12,28,38.1437,53.1004,0
12,29,82.8437,86.9446,0
13,20,23.5474,2.07781,0
13,21,11.2654,68.3018,0
13,22,60.3046,70.936,0
13,23,61.4765,25.4622,0
13,24,5.5704,12.7943,0
13,25,88.3694,41.937,0
13,26,67.5509,56.2563,0
13,27,46.185,20.0097,0
13,28,38.8016,52.3472,0
