time,node_id,x,y,z
1,20,41.9394,66.0021,0
1,21,34.1965,7.52673,0
1,22,50.9524,39.3191,0
1,23,29.7616,13.3445,0
1,24,87.4975,96.5685,0
1,25,50.1411,59.5708,0
1,26,72.9426,76.9889,0
1,27,15.7234,30.7203,0
1,28,87.7678,31.2506,0
1,29,78.2435,83.1725,0
2,20,42.0251,65.0058,0
2,21,33.2026,7.63712,0
2,22,51.2551,38.366,0
2,23,30.7553,13.2322,0
2,24,88.4837,96.734,0
2,25,50.6723,60.4181,0
2,26,72.6311,76.0387,0
2,27,15.355,31.65,0
2,28,88.3839,32.0382,0
2,29,77.4524,82.5608,0
3,20,42.9822,65.2955,0
3,21,33.5943,8.55724,0
3,22,51.3704,39.3593,0
3,23,31.5328,12.6034,0
3,24,87.7722,96.0314,0
3,25,50.2797,61.3378,0
3,26,72.2972,76.9813,0
3,27,14.874,30.7733,0
3,28,87.5539,32.5958,0
3,29,78.0923,81.7923,0
4,20,43.9393,65.5853,0
4,21,33.9859,9.47736,0
4,22,51.4857,40.3527,0
4,23,32.3104,11.9746,0
4,24,87.0606,95.3288,0
4,25,49.8871,62.2575,0
4,26,71.9634,77.9239,0
4,27,14.3929,29.8966,0
4,28,86.7238,33.1535,0
4,29,78.7322,81.0239,0
5,20,44.5031,64.7594,0
5,21,33,9.64492,0
5,22,52.4855,40.3311,0
5,23,31.8734,11.0751,0
5,24,87.8201,94.6784,0
5,25,49.6089,63.218,0
5,26,70.9643,77.966,0
5,27,15.3892,29.8109,0
5,28,87.7233,33.1847,0
5,29,77.8122,81.4158,0
6,20,45.067,63.9335,0
6,21,32.0142,9.81248,0
6,22,53.4853,40.3095,0
6,23,31.4365,10.1756,0
6,24,88.5797,94.0279,0
6,25,49.3307,64.1786,0
6,26,69.9651,78.008,0
6,27,16.3856,29.7253,0
6,28,88.7228,33.216,0
6,29,76.8922,81.8077,0
7,20,44.115,63.6274,0
7,21,32.6715,10.5661,0
7,22,54.3234,40.855,0
7,23,32.2638,9.61373,0
7,24,89.1242,94.8666,0
7,25,49.0652,63.2144,0
7,26,70.6288,77.2599,0
7,27,17.2448,30.2369,0
7,28,87.8665,32.6995,0
7,29,77.1494,82.7741,0
8,20,43.163,63.3213,0
8,21,33.3289,11.3197,0
8,22,55.1615,41.4005,0
8,23,33.091,9.05189,0
8,24,89.6687,95.7054,0
8,25,48.7998,62.2503,0
8,26,71.2924,76.5118,0
8,27,18.104,30.7485,0
8,28,87.0102,32.183,0
8,29,77.4065,83.7405,0
9,20,44.1241,63.0452,0
9,21,34.2077,10.8425,0
9,22,55.1442,40.4007,0
9,23,32.7851,10.0039,0
9,24,90.6268,95.9919,0
9,25,48.4511,63.1876,0
9,26,70.9001,75.592,0
9,27,17.104,30.749,0
9,28,86.0152,32.2832,0
9,29,77.5373,84.7319,0
10,20,45.0853,62.7692,0
10,21,35.0865,10.3654,0
10,22,55.127,39.4008,0
10,23,32.4791,10.956,0
10,24,91.5849,96.2783,0
10,25,48.1024,64.1248,0
10,26,70.5079,74.6721,0
10,27,16.104,30.7496,0
10,28,85.0202,32.3833,0
10,29,77.6681,85.7233,0
11,20,46.0127,63.1432,0
11,21,34.5312,11.1971,0
11,22,55.6929,38.5764,0
11,23,32.6199,11.946,0
11,24,90.5963,96.4289,0
11,25,48.2093,63.1305,0
11,26,69.7366,74.0356,0
11,27,16.7925,31.4748,0
11,28,84.9015,33.3762,0
11,29,78.0363,84.7936,0
12,20,46.9401,63.5173,0
12,21,33.9759,12.0287,0
12,22,56.2588,37.7519,0
12,23,32.7607,12.9361,0
12,24,89.6077,96.5794,0
12,25,48.3162,62.1363,0
12,26,68.9654,73.399,0
12,27,17.481,32.2001,0
12,28,84.7828,34.3692,0
12,29,78.4045,83.8638,0
13,20,47.0582,62.5243,0
13,21,34.1131,13.0193,0
13,22,56.2298,36.7523,0
13,23,33.7546,13.0461,0
13,24,88.692,96.1774,0
13,25,49.264,61.8172,0
13,26,67.9986,73.6545,0
13,27,18.1056,32.981,0
13,28,85.1517,33.4397,0
13,29,79.2203,84.4422,0
14,20,47.1763,61.5313,0
14,21,34.2502,14.0098,0
14,22,56.2007,35.7528,0
14,23,34.7485,13.1561,0
14,24,87.7764,95.7754,0
14,25,50.2117,61.4981,0
14,26,67.0318,73.9099,0
14,27,18.7302,33.7619,0
14,28,85.5206,32.5102,0
14,29,80.036,85.0206,0
15,20,46.2683,61.9504,0
15,21,34.7376,13.1366,0
15,22,56.0587,34.7629,0
15,23,35.6649,12.7557,0
15,24,87.2975,96.6533,0
15,25,49.9991,62.4752,0
15,26,67.695,73.1615,0
15,27,19.5279,34.365,0
15,28,86.1496,33.2877,0
15,29,79.1311,85.4462,0
16,20,45.3604,62.3694,0
16,21,35.225,12.2635,0
