Configuración,Protocolo,Eficiencia
no_mal_no_int,AODV,5.836279884352136
no_mal_no_int,OLSR,8.294444405811886
no_mal_no_int,DSDV,5.9069806060083705
int_no_mal,AODV,19.007359652931974
int_no_mal,OLSR,5.671727453821812
int_no_mal,DSDV,13.039591323694314
int_no_mal,DSR,0.6546536707079772
mal_no_int,AODV,7.2767954038773635
mal_no_int,OLSR,2.8901760329934167
mal_no_int,DSDV,3.2573206559183405
mal_no_int,DSR,0.0
mal_int,AODV,6.005166009058033
mal_int,OLSR,4.108939735404473
mal_int,DSDV,2.508226742072248
mal_int,DSR,0.0
