Configuración,Protocolo,Métrica,Unidad,Media,Mediana,Std,Min,Max
no_mal_no_int,AODV,throughput_promedio,Kbps,0.08136040000000001,0.07770550000000001,0.024984305062178535,0.054296,0.140367
no_mal_no_int,AODV,delay_promedio,ms,0.9606154,0.884794,0.4338523925567773,0.349292,1.799598
no_mal_no_int,AODV,jitter_promedio,ms,0.5979349,0.5713935,0.36816951859121905,0.015277,1.268179
no_mal_no_int,AODV,perdida_paquetes,%,24.0475475,19.955143,13.013846834802923,11.260054,54.471545
no_mal_no_int,AODV,pdr,%,75.9524525,80.04485700000001,13.013846834802923,45.528455,88.739946
no_mal_no_int,AODV,paquetes_totales,packets,7987.3,7391.5,4658.3794617871135,1230.0,15293.0
no_mal_no_int,AODV,paquetes_perdidos,packets,1419.9,1352.0,535.1090449618656,670.0,2396.0
no_mal_no_int,AODV,numero_flujos,flows,674.0,771.5,219.08400215442478,169.0,856.0
no_mal_no_int,AODV,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
no_mal_no_int,OLSR,throughput_promedio,Kbps,0.7515308999999999,0.752276,0.14706672431481568,0.511448,0.973241
no_mal_no_int,OLSR,delay_promedio,ms,0.16537090000000002,0.0874395,0.1599959764821916,0.02412,0.500237
no_mal_no_int,OLSR,jitter_promedio,ms,0.1326559,0.0704085,0.1410441519825973,0.018484,0.472817
no_mal_no_int,OLSR,perdida_paquetes,%,52.860366,52.934132000000005,5.683278070676975,43.990385,62.110312
no_mal_no_int,OLSR,pdr,%,47.139634,47.065867999999995,5.683278070676975,37.889688,56.009615
no_mal_no_int,OLSR,paquetes_totales,packets,834.8,835.0,1.5362291495737215,832.0,837.0
no_mal_no_int,OLSR,paquetes_perdidos,packets,441.3,442.0,47.64462194204085,366.0,518.0
no_mal_no_int,OLSR,numero_flujos,flows,29.0,29.0,0.0,29.0,29.0
no_mal_no_int,OLSR,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
no_mal_no_int,DSDV,throughput_promedio,Kbps,1.0392,0.9552,0.2501486278195425,0.5928,1.488
no_mal_no_int,DSDV,delay_promedio,ms,0.5209918,0.46924049999999995,0.3038196731144315,0.199792,1.335788
no_mal_no_int,DSDV,jitter_promedio,ms,0.5389838,0.4347305,0.3938123700634098,0.206989,1.612115
