Configuración,Protocolo,Eficiencia
no_mal_no_int,AODV,3.256460397738423
no_mal_no_int,OLSR,5.110135576224905
no_mal_no_int,DSDV,4.1543302038405745
int_no_mal,AODV,3.7623804940761305
int_no_mal,OLSR,3.51695461397831
int_no_mal,DSDV,9.162535401486775
int_no_mal,DSR,0.5131281687068863
mal_no_int,AODV,2.029323366392499
mal_no_int,OLSR,1.7750376037687485
mal_no_int,DSDV,1.9822438742396014
mal_no_int,DSR,3.0358217163578844
mal_int,AODV,1.4610447731834406
mal_int,OLSR,2.424456618204679
mal_int,DSDV,1.975565036189956
mal_int,DSR,1.4252450299402029
